request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,large,500,ok,,9608.515,1771026858.353275,1771026867.961799,2026-02-13T23:54:18.353275+00:00,2026-02-13T23:54:27.961799+00:00,200,500,2,180.0,
1,large,500,ok,,9591.876,1771026867.962207,1771026877.554083,2026-02-13T23:54:27.962207+00:00,2026-02-13T23:54:37.554083+00:00,200,500,2,180.0,
2,large,500,ok,,9590.566,1771026877.554406,1771026887.144971,2026-02-13T23:54:37.554406+00:00,2026-02-13T23:54:47.144971+00:00,200,500,2,180.0,
3,large,500,ok,,9590.85,1771026887.145277,1771026896.736126,2026-02-13T23:54:47.145277+00:00,2026-02-13T23:54:56.736126+00:00,200,500,2,180.0,
4,large,500,ok,,9591.575,1771026896.736431,1771026906.328005,2026-02-13T23:54:56.736431+00:00,2026-02-13T23:55:06.328005+00:00,200,500,2,180.0,
5,large,500,ok,,9591.797,1771026906.328303,1771026915.920099,2026-02-13T23:55:06.328303+00:00,2026-02-13T23:55:15.920099+00:00,200,500,2,180.0,
6,large,500,ok,,10331.735,1771026915.920408,1771026926.252142,2026-02-13T23:55:15.920408+00:00,2026-02-13T23:55:26.252142+00:00,200,500,2,180.0,
7,large,500,ok,,9592.393,1771026926.252449,1771026935.844841,2026-02-13T23:55:26.252449+00:00,2026-02-13T23:55:35.844841+00:00,200,500,2,180.0,
8,large,500,ok,,9590.573,1771026935.845166,1771026945.435738,2026-02-13T23:55:35.845166+00:00,2026-02-13T23:55:45.435738+00:00,200,500,2,180.0,
9,large,500,ok,,9590.279,1771026945.436054,1771026955.026333,2026-02-13T23:55:45.436054+00:00,2026-02-13T23:55:55.026333+00:00,200,500,2,180.0,
