request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,large,500,ok,,150535.064,1771027483.782586,1771027634.317648,2026-02-14T00:04:43.782586+00:00,2026-02-14T00:07:14.317648+00:00,200,500,2,180.0,
1,large,500,ok,,991.803,1771027634.318082,1771027635.309884,2026-02-14T00:07:14.318082+00:00,2026-02-14T00:07:15.309884+00:00,200,500,2,180.0,
2,large,500,ok,,1008.768,1771027635.310269,1771027636.319037,2026-02-14T00:07:15.310269+00:00,2026-02-14T00:07:16.319037+00:00,200,500,2,180.0,
3,large,500,ok,,997.378,1771027636.319353,1771027637.31673,2026-02-14T00:07:16.319353+00:00,2026-02-14T00:07:17.316730+00:00,200,500,2,180.0,
4,large,500,ok,,962.257,1771027637.317077,1771027638.279334,2026-02-14T00:07:17.317077+00:00,2026-02-14T00:07:18.279334+00:00,200,500,2,180.0,
5,large,500,ok,,837.834,1771027638.279645,1771027639.117479,2026-02-14T00:07:18.279645+00:00,2026-02-14T00:07:19.117479+00:00,200,500,2,180.0,
6,large,500,ok,,841.454,1771027639.11779,1771027639.959244,2026-02-14T00:07:19.117790+00:00,2026-02-14T00:07:19.959244+00:00,200,500,2,180.0,
7,large,500,ok,,903.095,1771027639.959561,1771027640.862656,2026-02-14T00:07:19.959561+00:00,2026-02-14T00:07:20.862656+00:00,200,500,2,180.0,
8,large,500,ok,,858.238,1771027640.86301,1771027641.721248,2026-02-14T00:07:20.863010+00:00,2026-02-14T00:07:21.721248+00:00,200,500,2,180.0,
9,large,500,ok,,893.774,1771027641.721567,1771027642.61534,2026-02-14T00:07:21.721567+00:00,2026-02-14T00:07:22.615340+00:00,200,500,2,180.0,
