request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,large,500,ok,,983.18,1771027717.855762,1771027718.838941,2026-02-14T00:08:37.855762+00:00,2026-02-14T00:08:38.838941+00:00,200,500,2,180.0,
1,large,500,ok,,993.41,1771027720.909686,1771027721.903095,2026-02-14T00:08:40.909686+00:00,2026-02-14T00:08:41.903095+00:00,200,500,2,180.0,
5,large,500,error,connection_error,167.164,1771027723.171324,1771027723.338488,2026-02-14T00:08:43.171324+00:00,2026-02-14T00:08:43.338488+00:00,,,,180.0,Remote end closed connection without response
2,large,500,error,connection_error,1299.805,1771027722.03882,1771027723.338625,2026-02-14T00:08:42.038820+00:00,2026-02-14T00:08:43.338625+00:00,,,,180.0,Remote end closed connection without response
4,large,500,error,connection_error,351.01,1771027722.9877,1771027723.33871,2026-02-14T00:08:42.987700+00:00,2026-02-14T00:08:43.338710+00:00,,,,180.0,Remote end closed connection without response
3,large,500,error,connection_error,714.022,1771027722.624765,1771027723.338788,2026-02-14T00:08:42.624765+00:00,2026-02-14T00:08:43.338788+00:00,,,,180.0,Remote end closed connection without response
6,large,500,error,connection_error,1.67,1771027723.79698,1771027723.798651,2026-02-14T00:08:43.796980+00:00,2026-02-14T00:08:43.798651+00:00,,,,180.0,[Errno 111] Connection refused
7,large,500,error,connection_error,1.028,1771027725.370146,1771027725.371175,2026-02-14T00:08:45.370146+00:00,2026-02-14T00:08:45.371175+00:00,,,,180.0,[Errno 111] Connection refused
8,large,500,error,connection_error,1.716,1771027725.539829,1771027725.541546,2026-02-14T00:08:45.539829+00:00,2026-02-14T00:08:45.541546+00:00,,,,180.0,[Errno 111] Connection refused
9,large,500,error,connection_error,1.092,1771027728.341925,1771027728.343018,2026-02-14T00:08:48.341925+00:00,2026-02-14T00:08:48.343018+00:00,,,,180.0,[Errno 111] Connection refused
10,large,500,error,connection_error,1.137,1771027729.266498,1771027729.267636,2026-02-14T00:08:49.266498+00:00,2026-02-14T00:08:49.267636+00:00,,,,180.0,[Errno 111] Connection refused
11,large,500,error,connection_error,1.223,1771027729.931834,1771027729.933058,2026-02-14T00:08:49.931834+00:00,2026-02-14T00:08:49.933058+00:00,,,,180.0,[Errno 111] Connection refused
12,large,500,error,connection_error,1.021,1771027730.204831,1771027730.205853,2026-02-14T00:08:50.204831+00:00,2026-02-14T00:08:50.205853+00:00,,,,180.0,[Errno 111] Connection refused
13,large,500,error,connection_error,1.037,1771027732.499699,1771027732.500736,2026-02-14T00:08:52.499699+00:00,2026-02-14T00:08:52.500736+00:00,,,,180.0,[Errno 111] Connection refused
14,large,500,error,connection_error,1.034,1771027737.186958,1771027737.187993,2026-02-14T00:08:57.186958+00:00,2026-02-14T00:08:57.187993+00:00,,,,180.0,[Errno 111] Connection refused
15,large,500,error,connection_error,1.167,1771027737.325645,1771027737.326812,2026-02-14T00:08:57.325645+00:00,2026-02-14T00:08:57.326812+00:00,,,,180.0,[Errno 111] Connection refused
16,large,500,error,connection_error,1.016,1771027738.304309,1771027738.305326,2026-02-14T00:08:58.304309+00:00,2026-02-14T00:08:58.305326+00:00,,,,180.0,[Errno 111] Connection refused
17,large,500,error,connection_error,1.025,1771027739.745288,1771027739.746314,2026-02-14T00:08:59.745288+00:00,2026-02-14T00:08:59.746314+00:00,,,,180.0,[Errno 111] Connection refused
18,large,500,error,connection_error,1.075,1771027739.946075,1771027739.947151,2026-02-14T00:08:59.946075+00:00,2026-02-14T00:08:59.947151+00:00,,,,180.0,[Errno 111] Connection refused
19,large,500,error,connection_error,1.065,1771027745.018793,1771027745.019859,2026-02-14T00:09:05.018793+00:00,2026-02-14T00:09:05.019859+00:00,,,,180.0,[Errno 111] Connection refused
20,large,500,error,connection_error,1.068,1771027746.615019,1771027746.616088,2026-02-14T00:09:06.615019+00:00,2026-02-14T00:09:06.616088+00:00,,,,180.0,[Errno 111] Connection refused
21,large,500,error,connection_error,1.059,1771027750.382457,1771027750.383518,2026-02-14T00:09:10.382457+00:00,2026-02-14T00:09:10.383518+00:00,,,,180.0,[Errno 111] Connection refused
22,large,500,error,connection_error,1.273,1771027753.599279,1771027753.600553,2026-02-14T00:09:13.599279+00:00,2026-02-14T00:09:13.600553+00:00,,,,180.0,[Errno 111] Connection refused
23,large,500,error,connection_error,1.039,1771027758.936383,1771027758.937423,2026-02-14T00:09:18.936383+00:00,2026-02-14T00:09:18.937423+00:00,,,,180.0,[Errno 111] Connection refused
24,large,500,error,connection_error,1.035,1771027762.125143,1771027762.126178,2026-02-14T00:09:22.125143+00:00,2026-02-14T00:09:22.126178+00:00,,,,180.0,[Errno 111] Connection refused
25,large,500,error,connection_error,1.026,1771027767.089659,1771027767.090685,2026-02-14T00:09:27.089659+00:00,2026-02-14T00:09:27.090685+00:00,,,,180.0,[Errno 111] Connection refused
26,large,500,error,connection_error,1.089,1771027767.416585,1771027767.417675,2026-02-14T00:09:27.416585+00:00,2026-02-14T00:09:27.417675+00:00,,,,180.0,[Errno 111] Connection refused
27,large,500,error,connection_error,1.003,1771027768.102946,1771027768.10395,2026-02-14T00:09:28.102946+00:00,2026-02-14T00:09:28.103950+00:00,,,,180.0,[Errno 111] Connection refused
28,large,500,error,connection_error,1.038,1771027771.034438,1771027771.035477,2026-02-14T00:09:31.034438+00:00,2026-02-14T00:09:31.035477+00:00,,,,180.0,[Errno 111] Connection refused
29,large,500,error,connection_error,1.041,1771027772.148172,1771027772.149214,2026-02-14T00:09:32.148172+00:00,2026-02-14T00:09:32.149214+00:00,,,,180.0,[Errno 111] Connection refused
30,large,500,error,connection_error,1.112,1771027773.698296,1771027773.699409,2026-02-14T00:09:33.698296+00:00,2026-02-14T00:09:33.699409+00:00,,,,180.0,[Errno 111] Connection refused
31,large,500,error,connection_error,1.043,1771027776.057173,1771027776.058216,2026-02-14T00:09:36.057173+00:00,2026-02-14T00:09:36.058216+00:00,,,,180.0,[Errno 111] Connection refused
32,large,500,error,connection_error,1.055,1771027776.936656,1771027776.937712,2026-02-14T00:09:36.936656+00:00,2026-02-14T00:09:36.937712+00:00,,,,180.0,[Errno 111] Connection refused
33,large,500,error,connection_error,1.066,1771027776.983258,1771027776.984326,2026-02-14T00:09:36.983258+00:00,2026-02-14T00:09:36.984326+00:00,,,,180.0,[Errno 111] Connection refused
34,large,500,error,connection_error,2.129,1771027777.218072,1771027777.220202,2026-02-14T00:09:37.218072+00:00,2026-02-14T00:09:37.220202+00:00,,,,180.0,[Errno 111] Connection refused
35,large,500,error,connection_error,0.988,1771027779.196695,1771027779.197684,2026-02-14T00:09:39.196695+00:00,2026-02-14T00:09:39.197684+00:00,,,,180.0,[Errno 111] Connection refused
36,large,500,error,connection_error,1.01,1771027781.848875,1771027781.849885,2026-02-14T00:09:41.848875+00:00,2026-02-14T00:09:41.849885+00:00,,,,180.0,[Errno 111] Connection refused
37,large,500,error,connection_error,1.016,1771027781.903422,1771027781.904438,2026-02-14T00:09:41.903422+00:00,2026-02-14T00:09:41.904438+00:00,,,,180.0,[Errno 111] Connection refused
38,large,500,error,connection_error,1.053,1771027782.359352,1771027782.360405,2026-02-14T00:09:42.359352+00:00,2026-02-14T00:09:42.360405+00:00,,,,180.0,[Errno 111] Connection refused
39,large,500,error,connection_error,0.966,1771027784.472013,1771027784.47298,2026-02-14T00:09:44.472013+00:00,2026-02-14T00:09:44.472980+00:00,,,,180.0,[Errno 111] Connection refused
40,large,500,error,connection_error,1.05,1771027784.984002,1771027784.985053,2026-02-14T00:09:44.984002+00:00,2026-02-14T00:09:44.985053+00:00,,,,180.0,[Errno 111] Connection refused
41,large,500,error,connection_error,1.042,1771027785.980559,1771027785.981602,2026-02-14T00:09:45.980559+00:00,2026-02-14T00:09:45.981602+00:00,,,,180.0,[Errno 111] Connection refused
42,large,500,error,connection_error,1.006,1771027787.449535,1771027787.450543,2026-02-14T00:09:47.449535+00:00,2026-02-14T00:09:47.450543+00:00,,,,180.0,[Errno 111] Connection refused
43,large,500,error,connection_error,0.98,1771027789.198772,1771027789.199754,2026-02-14T00:09:49.198772+00:00,2026-02-14T00:09:49.199754+00:00,,,,180.0,[Errno 111] Connection refused
44,large,500,error,connection_error,1.029,1771027789.510581,1771027789.51161,2026-02-14T00:09:49.510581+00:00,2026-02-14T00:09:49.511610+00:00,,,,180.0,[Errno 111] Connection refused
45,large,500,error,connection_error,1.013,1771027791.411047,1771027791.41206,2026-02-14T00:09:51.411047+00:00,2026-02-14T00:09:51.412060+00:00,,,,180.0,[Errno 111] Connection refused
46,large,500,error,connection_error,1.254,1771027792.031193,1771027792.032448,2026-02-14T00:09:52.031193+00:00,2026-02-14T00:09:52.032448+00:00,,,,180.0,[Errno 111] Connection refused
47,large,500,error,connection_error,1.024,1771027795.015983,1771027795.017008,2026-02-14T00:09:55.015983+00:00,2026-02-14T00:09:55.017008+00:00,,,,180.0,[Errno 111] Connection refused
48,large,500,error,connection_error,1.039,1771027795.801308,1771027795.802348,2026-02-14T00:09:55.801308+00:00,2026-02-14T00:09:55.802348+00:00,,,,180.0,[Errno 111] Connection refused
