request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,large,500,error,connection_error,19.33,1771027839.159348,1771027839.178679,2026-02-14T00:10:39.159348+00:00,2026-02-14T00:10:39.178679+00:00,,,,180.0,[Errno 111] Connection refused
1,large,500,error,connection_error,1.194,1771027840.68676,1771027840.687955,2026-02-14T00:10:40.686760+00:00,2026-02-14T00:10:40.687955+00:00,,,,180.0,[Errno 111] Connection refused
2,large,500,error,connection_error,1.021,1771027841.251096,1771027841.252118,2026-02-14T00:10:41.251096+00:00,2026-02-14T00:10:41.252118+00:00,,,,180.0,[Errno 111] Connection refused
3,large,500,error,connection_error,0.997,1771027841.54399,1771027841.544987,2026-02-14T00:10:41.543990+00:00,2026-02-14T00:10:41.544987+00:00,,,,180.0,[Errno 111] Connection refused
4,large,500,error,connection_error,1.034,1771027841.724656,1771027841.72569,2026-02-14T00:10:41.724656+00:00,2026-02-14T00:10:41.725690+00:00,,,,180.0,[Errno 111] Connection refused
5,large,500,error,connection_error,1.048,1771027841.817289,1771027841.818338,2026-02-14T00:10:41.817289+00:00,2026-02-14T00:10:41.818338+00:00,,,,180.0,[Errno 111] Connection refused
6,large,500,error,connection_error,1.025,1771027842.130116,1771027842.131142,2026-02-14T00:10:42.130116+00:00,2026-02-14T00:10:42.131142+00:00,,,,180.0,[Errno 111] Connection refused
7,large,500,error,connection_error,1.336,1771027842.916473,1771027842.917809,2026-02-14T00:10:42.916473+00:00,2026-02-14T00:10:42.917809+00:00,,,,180.0,[Errno 111] Connection refused
8,large,500,error,connection_error,1.025,1771027843.001424,1771027843.00245,2026-02-14T00:10:43.001424+00:00,2026-02-14T00:10:43.002450+00:00,,,,180.0,[Errno 111] Connection refused
9,large,500,error,connection_error,1.016,1771027844.401372,1771027844.40239,2026-02-14T00:10:44.401372+00:00,2026-02-14T00:10:44.402390+00:00,,,,180.0,[Errno 111] Connection refused
10,large,500,error,connection_error,0.975,1771027844.864365,1771027844.86534,2026-02-14T00:10:44.864365+00:00,2026-02-14T00:10:44.865340+00:00,,,,180.0,[Errno 111] Connection refused
11,large,500,error,connection_error,0.977,1771027845.197143,1771027845.19812,2026-02-14T00:10:45.197143+00:00,2026-02-14T00:10:45.198120+00:00,,,,180.0,[Errno 111] Connection refused
12,large,500,error,connection_error,1.006,1771027845.333753,1771027845.33476,2026-02-14T00:10:45.333753+00:00,2026-02-14T00:10:45.334760+00:00,,,,180.0,[Errno 111] Connection refused
