request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
7,large,500,error,connection_error,12605.037,1771031222.508273,1771031235.113309,2026-02-14T01:07:02.508273+00:00,2026-02-14T01:07:15.113309+00:00,,,,180.0,Remote end closed connection without response
6,large,500,error,connection_error,13392.661,1771031221.721011,1771031235.113672,2026-02-14T01:07:01.721011+00:00,2026-02-14T01:07:15.113672+00:00,,,,180.0,Remote end closed connection without response
0,large,500,error,connection_error,16363.405,1771031218.750373,1771031235.113778,2026-02-14T01:06:58.750373+00:00,2026-02-14T01:07:15.113778+00:00,,,,180.0,Remote end closed connection without response
3,large,500,error,connection_error,13979.072,1771031221.134879,1771031235.113951,2026-02-14T01:07:01.134879+00:00,2026-02-14T01:07:15.113951+00:00,,,,180.0,Remote end closed connection without response
2,large,500,error,connection_error,14271.936,1771031220.842082,1771031235.114018,2026-02-14T01:07:00.842082+00:00,2026-02-14T01:07:15.114018+00:00,,,,180.0,Remote end closed connection without response
5,large,500,error,connection_error,13705.936,1771031221.408155,1771031235.114091,2026-02-14T01:07:01.408155+00:00,2026-02-14T01:07:15.114091+00:00,,,,180.0,Remote end closed connection without response
1,large,500,error,connection_error,14836.174,1771031220.277969,1771031235.114143,2026-02-14T01:07:00.277969+00:00,2026-02-14T01:07:15.114143+00:00,,,,180.0,Remote end closed connection without response
4,large,500,error,connection_error,13797.661,1771031221.316558,1771031235.114218,2026-02-14T01:07:01.316558+00:00,2026-02-14T01:07:15.114218+00:00,,,,180.0,Remote end closed connection without response
11,large,500,error,connection_error,1.06,1771031235.117731,1771031235.118791,2026-02-14T01:07:15.117731+00:00,2026-02-14T01:07:15.118791+00:00,,,,180.0,[Errno 111] Connection refused
8,large,500,error,connection_error,4.817,1771031235.114864,1771031235.11968,2026-02-14T01:07:15.114864+00:00,2026-02-14T01:07:15.119680+00:00,,,,180.0,[Errno 111] Connection refused
10,large,500,error,connection_error,5.227,1771031235.116684,1771031235.121912,2026-02-14T01:07:15.116684+00:00,2026-02-14T01:07:15.121912+00:00,,,,180.0,[Errno 111] Connection refused
9,large,500,error,connection_error,7.128,1771031235.115789,1771031235.122917,2026-02-14T01:07:15.115789+00:00,2026-02-14T01:07:15.122917+00:00,,,,180.0,[Errno 111] Connection refused
14,large,500,error,connection_error,2.606,1771031235.120818,1771031235.123425,2026-02-14T01:07:15.120818+00:00,2026-02-14T01:07:15.123425+00:00,,,,180.0,[Errno 111] Connection refused
15,large,500,error,connection_error,2.333,1771031235.121947,1771031235.12428,2026-02-14T01:07:15.121947+00:00,2026-02-14T01:07:15.124280+00:00,,,,180.0,[Errno 111] Connection refused
13,large,500,error,connection_error,5.639,1771031235.119708,1771031235.125347,2026-02-14T01:07:15.119708+00:00,2026-02-14T01:07:15.125347+00:00,,,,180.0,[Errno 111] Connection refused
12,large,500,error,connection_error,7.47,1771031235.118816,1771031235.126286,2026-02-14T01:07:15.118816+00:00,2026-02-14T01:07:15.126286+00:00,,,,180.0,[Errno 111] Connection refused
17,large,500,error,connection_error,2.821,1771031235.124313,1771031235.127133,2026-02-14T01:07:15.124313+00:00,2026-02-14T01:07:15.127133+00:00,,,,180.0,[Errno 111] Connection refused
16,large,500,error,connection_error,4.591,1771031235.123447,1771031235.128038,2026-02-14T01:07:15.123447+00:00,2026-02-14T01:07:15.128038+00:00,,,,180.0,[Errno 111] Connection refused
19,large,500,error,connection_error,3.18,1771031235.127162,1771031235.130342,2026-02-14T01:07:15.127162+00:00,2026-02-14T01:07:15.130342+00:00,,,,180.0,[Errno 111] Connection refused
20,large,500,error,connection_error,2.492,1771031235.128064,1771031235.130556,2026-02-14T01:07:15.128064+00:00,2026-02-14T01:07:15.130556+00:00,,,,180.0,[Errno 111] Connection refused
21,large,500,error,connection_error,1.648,1771031235.129109,1771031235.130757,2026-02-14T01:07:15.129109+00:00,2026-02-14T01:07:15.130757+00:00,,,,180.0,[Errno 111] Connection refused
18,large,500,error,connection_error,4.513,1771031235.12631,1771031235.130822,2026-02-14T01:07:15.126310+00:00,2026-02-14T01:07:15.130822+00:00,,,,180.0,[Errno 111] Connection refused
22,large,500,error,connection_error,1.048,1771031236.62178,1771031236.622829,2026-02-14T01:07:16.621780+00:00,2026-02-14T01:07:16.622829+00:00,,,,180.0,[Errno 111] Connection refused
23,large,500,error,connection_error,1.19,1771031239.291053,1771031239.292243,2026-02-14T01:07:19.291053+00:00,2026-02-14T01:07:19.292243+00:00,,,,180.0,[Errno 111] Connection refused
24,large,500,error,connection_error,1.17,1771031240.884399,1771031240.88557,2026-02-14T01:07:20.884399+00:00,2026-02-14T01:07:20.885570+00:00,,,,180.0,[Errno 111] Connection refused
