request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
1,small,3,ok,,27126.934,1771030480.315274,1771030507.442207,2026-02-14T00:54:40.315274+00:00,2026-02-14T00:55:07.442207+00:00,200,3,2,180.0,
4,small,3,ok,,26526.851,1771030480.963879,1771030507.49073,2026-02-14T00:54:40.963879+00:00,2026-02-14T00:55:07.490730+00:00,200,3,2,180.0,
5,small,3,ok,,26494.121,1771030481.02065,1771030507.514771,2026-02-14T00:54:41.020650+00:00,2026-02-14T00:55:07.514771+00:00,200,3,2,180.0,
8,small,3,error,connection_error,331.585,1771030507.442584,1771030507.774168,2026-02-14T00:55:07.442584+00:00,2026-02-14T00:55:07.774168+00:00,,,,180.0,Remote end closed connection without response
7,medium,30,error,connection_error,26066.17,1771030481.708122,1771030507.774292,2026-02-14T00:54:41.708122+00:00,2026-02-14T00:55:07.774292+00:00,,,,180.0,Remote end closed connection without response
2,large,500,error,connection_error,27107.161,1771030480.667362,1771030507.774523,2026-02-14T00:54:40.667362+00:00,2026-02-14T00:55:07.774523+00:00,,,,180.0,Remote end closed connection without response
3,large,500,error,connection_error,26924.505,1771030480.85011,1771030507.774615,2026-02-14T00:54:40.850110+00:00,2026-02-14T00:55:07.774615+00:00,,,,180.0,Remote end closed connection without response
10,medium,30,error,connection_error,259.725,1771030507.515039,1771030507.774764,2026-02-14T00:55:07.515039+00:00,2026-02-14T00:55:07.774764+00:00,,,,180.0,Remote end closed connection without response
6,medium,30,error,connection_error,26558.484,1771030481.216744,1771030507.775228,2026-02-14T00:54:41.216744+00:00,2026-02-14T00:55:07.775228+00:00,,,,180.0,Remote end closed connection without response
0,medium,30,error,connection_error,28416.674,1771030479.359694,1771030507.776369,2026-02-14T00:54:39.359694+00:00,2026-02-14T00:55:07.776369+00:00,,,,180.0,Remote end closed connection without response
13,medium,30,error,connection_error,1.315,1771030507.7764,1771030507.777715,2026-02-14T00:55:07.776400+00:00,2026-02-14T00:55:07.777715+00:00,,,,180.0,[Errno 111] Connection refused
9,small,3,error,connection_error,287.083,1771030507.491147,1771030507.77823,2026-02-14T00:55:07.491147+00:00,2026-02-14T00:55:07.778230+00:00,,,,180.0,Remote end closed connection without response
12,small,3,error,connection_error,2.449,1771030507.776088,1771030507.778538,2026-02-14T00:55:07.776088+00:00,2026-02-14T00:55:07.778538+00:00,,,,180.0,[Errno 111] Connection refused
16,small,3,error,connection_error,1.191,1771030507.777739,1771030507.778929,2026-02-14T00:55:07.777739+00:00,2026-02-14T00:55:07.778929+00:00,,,,180.0,[Errno 111] Connection refused
11,small,3,error,connection_error,3.239,1771030507.775756,1771030507.778995,2026-02-14T00:55:07.775756+00:00,2026-02-14T00:55:07.778995+00:00,,,,180.0,[Errno 111] Connection refused
17,small,3,error,connection_error,0.986,1771030507.778257,1771030507.779243,2026-02-14T00:55:07.778257+00:00,2026-02-14T00:55:07.779243+00:00,,,,180.0,[Errno 111] Connection refused
14,medium,30,error,connection_error,2.997,1771030507.776802,1771030507.779799,2026-02-14T00:55:07.776802+00:00,2026-02-14T00:55:07.779799+00:00,,,,180.0,[Errno 111] Connection refused
15,small,3,error,connection_error,2.642,1771030507.77745,1771030507.780092,2026-02-14T00:55:07.777450+00:00,2026-02-14T00:55:07.780092+00:00,,,,180.0,[Errno 111] Connection refused
18,small,3,error,connection_error,1.344,1771030507.779831,1771030507.781175,2026-02-14T00:55:07.779831+00:00,2026-02-14T00:55:07.781175+00:00,,,,180.0,[Errno 111] Connection refused
22,small,3,error,connection_error,1.105,1771030507.781528,1771030507.782632,2026-02-14T00:55:07.781528+00:00,2026-02-14T00:55:07.782632+00:00,,,,180.0,[Errno 111] Connection refused
24,medium,30,error,connection_error,0.366,1771030507.782661,1771030507.783027,2026-02-14T00:55:07.782661+00:00,2026-02-14T00:55:07.783027+00:00,,,,180.0,[Errno 111] Connection refused
21,small,3,error,connection_error,2.031,1771030507.7812,1771030507.78323,2026-02-14T00:55:07.781200+00:00,2026-02-14T00:55:07.783230+00:00,,,,180.0,[Errno 111] Connection refused
19,medium,30,error,connection_error,3.809,1771030507.780119,1771030507.783928,2026-02-14T00:55:07.780119+00:00,2026-02-14T00:55:07.783928+00:00,,,,180.0,[Errno 111] Connection refused
