request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,medium,30,ok,,122.02,1771040088.651974,1771040088.773994,2026-02-14T03:34:48.651974+00:00,2026-02-14T03:34:48.773994+00:00,200,30,2,180.0,
1,small,3,ok,,56.221,1771040090.560426,1771040090.616648,2026-02-14T03:34:50.560426+00:00,2026-02-14T03:34:50.616648+00:00,200,3,2,180.0,
3,large,500,error,connection_error,11984.294,1771040091.632756,1771040103.617049,2026-02-14T03:34:51.632756+00:00,2026-02-14T03:35:03.617049+00:00,,,,180.0,Remote end closed connection without response
2,large,500,error,connection_error,12351.412,1771040091.265931,1771040103.617343,2026-02-14T03:34:51.265931+00:00,2026-02-14T03:35:03.617343+00:00,,,,180.0,Remote end closed connection without response
4,small,3,error,connection_error,0.816,1771040103.617682,1771040103.618498,2026-02-14T03:35:03.617682+00:00,2026-02-14T03:35:03.618498+00:00,,,,180.0,[Errno 111] Connection refused
5,small,3,error,connection_error,0.505,1771040103.618083,1771040103.618588,2026-02-14T03:35:03.618083+00:00,2026-02-14T03:35:03.618588+00:00,,,,180.0,[Errno 111] Connection refused
7,medium,30,error,connection_error,0.312,1771040103.619215,1771040103.619527,2026-02-14T03:35:03.619215+00:00,2026-02-14T03:35:03.619527+00:00,,,,180.0,[Errno 111] Connection refused
6,medium,30,error,connection_error,1.168,1771040103.61883,1771040103.619999,2026-02-14T03:35:03.618830+00:00,2026-02-14T03:35:03.619999+00:00,,,,180.0,[Errno 111] Connection refused
8,small,3,error,connection_error,0.352,1771040103.619745,1771040103.620098,2026-02-14T03:35:03.619745+00:00,2026-02-14T03:35:03.620098+00:00,,,,180.0,[Errno 111] Connection refused
10,medium,30,error,connection_error,0.455,1771040103.620836,1771040103.62129,2026-02-14T03:35:03.620836+00:00,2026-02-14T03:35:03.621290+00:00,,,,180.0,[Errno 111] Connection refused
9,small,3,error,connection_error,0.963,1771040103.62056,1771040103.621522,2026-02-14T03:35:03.620560+00:00,2026-02-14T03:35:03.621522+00:00,,,,180.0,[Errno 111] Connection refused
11,small,3,error,connection_error,0.826,1771040103.621564,1771040103.62239,2026-02-14T03:35:03.621564+00:00,2026-02-14T03:35:03.622390+00:00,,,,180.0,[Errno 111] Connection refused
12,small,3,error,connection_error,0.87,1771040103.62209,1771040103.62296,2026-02-14T03:35:03.622090+00:00,2026-02-14T03:35:03.622960+00:00,,,,180.0,[Errno 111] Connection refused
13,medium,30,error,connection_error,0.887,1771040103.622666,1771040103.623553,2026-02-14T03:35:03.622666+00:00,2026-02-14T03:35:03.623553+00:00,,,,180.0,[Errno 111] Connection refused
14,medium,30,error,connection_error,0.395,1771040103.62323,1771040103.623625,2026-02-14T03:35:03.623230+00:00,2026-02-14T03:35:03.623625+00:00,,,,180.0,[Errno 111] Connection refused
