request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,medium,30,error,connection_error,18.834,1771061203.73401,1771061203.752845,2026-02-14T09:26:43.734010+00:00,2026-02-14T09:26:43.752845+00:00,,,,180.0,[Errno 111] Connection refused
1,small,3,error,connection_error,0.485,1771061204.4972,1771061204.497686,2026-02-14T09:26:44.497200+00:00,2026-02-14T09:26:44.497686+00:00,,,,180.0,[Errno 111] Connection refused
2,large,500,error,connection_error,1.105,1771061204.779491,1771061204.780597,2026-02-14T09:26:44.779491+00:00,2026-02-14T09:26:44.780597+00:00,,,,180.0,[Errno 111] Connection refused
3,large,500,error,connection_error,1.075,1771061204.926248,1771061204.927323,2026-02-14T09:26:44.926248+00:00,2026-02-14T09:26:44.927323+00:00,,,,180.0,[Errno 111] Connection refused
4,small,3,error,connection_error,0.442,1771061205.01686,1771061205.017303,2026-02-14T09:26:45.016860+00:00,2026-02-14T09:26:45.017303+00:00,,,,180.0,[Errno 111] Connection refused
5,small,3,error,connection_error,0.358,1771061205.062746,1771061205.063104,2026-02-14T09:26:45.062746+00:00,2026-02-14T09:26:45.063104+00:00,,,,180.0,[Errno 111] Connection refused
6,medium,30,error,connection_error,0.486,1771061205.218667,1771061205.219154,2026-02-14T09:26:45.218667+00:00,2026-02-14T09:26:45.219154+00:00,,,,180.0,[Errno 111] Connection refused
7,medium,30,error,connection_error,0.468,1771061205.613206,1771061205.613675,2026-02-14T09:26:45.613206+00:00,2026-02-14T09:26:45.613675+00:00,,,,180.0,[Errno 111] Connection refused
8,small,3,error,connection_error,0.374,1771061205.655128,1771061205.655502,2026-02-14T09:26:45.655128+00:00,2026-02-14T09:26:45.655502+00:00,,,,180.0,[Errno 111] Connection refused
9,small,3,error,connection_error,0.482,1771061206.355717,1771061206.3562,2026-02-14T09:26:46.355717+00:00,2026-02-14T09:26:46.356200+00:00,,,,180.0,[Errno 111] Connection refused
10,medium,30,error,connection_error,0.477,1771061206.58698,1771061206.587458,2026-02-14T09:26:46.586980+00:00,2026-02-14T09:26:46.587458+00:00,,,,180.0,[Errno 111] Connection refused
11,small,3,error,connection_error,0.437,1771061206.753125,1771061206.753562,2026-02-14T09:26:46.753125+00:00,2026-02-14T09:26:46.753562+00:00,,,,180.0,[Errno 111] Connection refused
