request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,medium,30,ok,,120.427,1771060414.140119,1771060414.260546,2026-02-14T09:13:34.140119+00:00,2026-02-14T09:13:34.260546+00:00,200,30,2,180.0,
1,small,3,ok,,56.316,1771060414.521508,1771060414.577825,2026-02-14T09:13:34.521508+00:00,2026-02-14T09:13:34.577825+00:00,200,3,2,180.0,
4,small,3,ok,,117.498,1771060414.781343,1771060414.898841,2026-02-14T09:13:34.781343+00:00,2026-02-14T09:13:34.898841+00:00,200,3,2,180.0,
5,small,3,ok,,127.554,1771060414.805023,1771060414.932576,2026-02-14T09:13:34.805023+00:00,2026-02-14T09:13:34.932576+00:00,200,3,2,180.0,
7,medium,30,error,connection_error,105.766,1771060415.07917,1771060415.184937,2026-02-14T09:13:35.079170+00:00,2026-02-14T09:13:35.184937+00:00,,,,180.0,Remote end closed connection without response
2,large,500,error,connection_error,522.635,1771060414.662447,1771060415.185082,2026-02-14T09:13:34.662447+00:00,2026-02-14T09:13:35.185082+00:00,,,,180.0,Remote end closed connection without response
6,medium,30,error,connection_error,286.25,1771060414.899184,1771060415.185433,2026-02-14T09:13:34.899184+00:00,2026-02-14T09:13:35.185433+00:00,,,,180.0,Remote end closed connection without response
3,large,500,error,connection_error,449.92,1771060414.735896,1771060415.185816,2026-02-14T09:13:34.735896+00:00,2026-02-14T09:13:35.185816+00:00,,,,180.0,Remote end closed connection without response
8,small,3,error,connection_error,0.633,1771060415.185859,1771060415.186492,2026-02-14T09:13:35.185859+00:00,2026-02-14T09:13:35.186492+00:00,,,,180.0,[Errno 111] Connection refused
9,small,3,error,connection_error,0.443,1771060415.450143,1771060415.450587,2026-02-14T09:13:35.450143+00:00,2026-02-14T09:13:35.450587+00:00,,,,180.0,[Errno 111] Connection refused
10,medium,30,error,connection_error,0.468,1771060415.566174,1771060415.566643,2026-02-14T09:13:35.566174+00:00,2026-02-14T09:13:35.566643+00:00,,,,180.0,[Errno 111] Connection refused
11,small,3,error,connection_error,0.462,1771060415.649184,1771060415.649646,2026-02-14T09:13:35.649184+00:00,2026-02-14T09:13:35.649646+00:00,,,,180.0,[Errno 111] Connection refused
12,small,3,error,connection_error,0.476,1771060415.684109,1771060415.684585,2026-02-14T09:13:35.684109+00:00,2026-02-14T09:13:35.684585+00:00,,,,180.0,[Errno 111] Connection refused
13,medium,30,error,connection_error,14.299,1771060415.978754,1771060415.993053,2026-02-14T09:13:35.978754+00:00,2026-02-14T09:13:35.993053+00:00,,,,180.0,[Errno 111] Connection refused
14,medium,30,error,connection_error,0.903,1771060416.58975,1771060416.590653,2026-02-14T09:13:36.589750+00:00,2026-02-14T09:13:36.590653+00:00,,,,180.0,[Errno 111] Connection refused
15,small,3,error,connection_error,0.578,1771060416.590165,1771060416.590744,2026-02-14T09:13:36.590165+00:00,2026-02-14T09:13:36.590744+00:00,,,,180.0,[Errno 111] Connection refused
16,small,3,error,connection_error,0.453,1771060416.710135,1771060416.710589,2026-02-14T09:13:36.710135+00:00,2026-02-14T09:13:36.710589+00:00,,,,180.0,[Errno 111] Connection refused
17,small,3,error,connection_error,0.43,1771060416.876311,1771060416.876741,2026-02-14T09:13:36.876311+00:00,2026-02-14T09:13:36.876741+00:00,,,,180.0,[Errno 111] Connection refused
18,small,3,error,connection_error,0.561,1771060416.901205,1771060416.901767,2026-02-14T09:13:36.901205+00:00,2026-02-14T09:13:36.901767+00:00,,,,180.0,[Errno 111] Connection refused
19,medium,30,error,connection_error,0.427,1771060417.53496,1771060417.535387,2026-02-14T09:13:37.534960+00:00,2026-02-14T09:13:37.535387+00:00,,,,180.0,[Errno 111] Connection refused
20,medium,30,error,connection_error,0.621,1771060417.735177,1771060417.735799,2026-02-14T09:13:37.735177+00:00,2026-02-14T09:13:37.735799+00:00,,,,180.0,[Errno 111] Connection refused
21,small,3,error,connection_error,0.447,1771060418.205738,1771060418.206186,2026-02-14T09:13:38.205738+00:00,2026-02-14T09:13:38.206186+00:00,,,,180.0,[Errno 111] Connection refused
22,small,3,error,connection_error,0.464,1771060418.608093,1771060418.608558,2026-02-14T09:13:38.608093+00:00,2026-02-14T09:13:38.608558+00:00,,,,180.0,[Errno 111] Connection refused
23,small,3,error,connection_error,0.59,1771060419.274724,1771060419.275314,2026-02-14T09:13:39.274724+00:00,2026-02-14T09:13:39.275314+00:00,,,,180.0,[Errno 111] Connection refused
24,medium,30,error,connection_error,0.447,1771060419.673282,1771060419.673729,2026-02-14T09:13:39.673282+00:00,2026-02-14T09:13:39.673729+00:00,,,,180.0,[Errno 111] Connection refused
25,small,3,error,connection_error,0.46,1771060420.293846,1771060420.294306,2026-02-14T09:13:40.293846+00:00,2026-02-14T09:13:40.294306+00:00,,,,180.0,[Errno 111] Connection refused
26,medium,30,error,connection_error,0.528,1771060420.334815,1771060420.335343,2026-02-14T09:13:40.334815+00:00,2026-02-14T09:13:40.335343+00:00,,,,180.0,[Errno 111] Connection refused
27,medium,30,error,connection_error,0.464,1771060420.420959,1771060420.421424,2026-02-14T09:13:40.420959+00:00,2026-02-14T09:13:40.421424+00:00,,,,180.0,[Errno 111] Connection refused
28,small,3,error,connection_error,0.43,1771060420.787312,1771060420.787743,2026-02-14T09:13:40.787312+00:00,2026-02-14T09:13:40.787743+00:00,,,,180.0,[Errno 111] Connection refused
29,large,500,error,connection_error,1.088,1771060420.92636,1771060420.927448,2026-02-14T09:13:40.926360+00:00,2026-02-14T09:13:40.927448+00:00,,,,180.0,[Errno 111] Connection refused
30,medium,30,error,connection_error,0.479,1771060421.120152,1771060421.120631,2026-02-14T09:13:41.120152+00:00,2026-02-14T09:13:41.120631+00:00,,,,180.0,[Errno 111] Connection refused
31,small,3,error,connection_error,0.409,1771060421.415463,1771060421.415873,2026-02-14T09:13:41.415463+00:00,2026-02-14T09:13:41.415873+00:00,,,,180.0,[Errno 111] Connection refused
32,medium,30,error,connection_error,0.51,1771060421.525597,1771060421.526108,2026-02-14T09:13:41.525597+00:00,2026-02-14T09:13:41.526108+00:00,,,,180.0,[Errno 111] Connection refused
33,large,500,error,connection_error,1.098,1771060421.530533,1771060421.531631,2026-02-14T09:13:41.530533+00:00,2026-02-14T09:13:41.531631+00:00,,,,180.0,[Errno 111] Connection refused
34,small,3,error,connection_error,0.42,1771060421.560053,1771060421.560474,2026-02-14T09:13:41.560053+00:00,2026-02-14T09:13:41.560474+00:00,,,,180.0,[Errno 111] Connection refused
35,small,3,error,connection_error,1.374,1771060421.807225,1771060421.808599,2026-02-14T09:13:41.807225+00:00,2026-02-14T09:13:41.808599+00:00,,,,180.0,[Errno 111] Connection refused
36,large,500,error,connection_error,1.071,1771060422.139539,1771060422.140611,2026-02-14T09:13:42.139539+00:00,2026-02-14T09:13:42.140611+00:00,,,,180.0,[Errno 111] Connection refused
37,small,3,error,connection_error,0.404,1771060422.146016,1771060422.14642,2026-02-14T09:13:42.146016+00:00,2026-02-14T09:13:42.146420+00:00,,,,180.0,[Errno 111] Connection refused
38,large,500,error,connection_error,1.017,1771060422.202846,1771060422.203863,2026-02-14T09:13:42.202846+00:00,2026-02-14T09:13:42.203863+00:00,,,,180.0,[Errno 111] Connection refused
39,large,500,error,connection_error,1.029,1771060422.466586,1771060422.467615,2026-02-14T09:13:42.466586+00:00,2026-02-14T09:13:42.467615+00:00,,,,180.0,[Errno 111] Connection refused
40,small,3,error,connection_error,0.465,1771060422.531212,1771060422.531678,2026-02-14T09:13:42.531212+00:00,2026-02-14T09:13:42.531678+00:00,,,,180.0,[Errno 111] Connection refused
41,medium,30,error,connection_error,0.467,1771060422.655261,1771060422.655728,2026-02-14T09:13:42.655261+00:00,2026-02-14T09:13:42.655728+00:00,,,,180.0,[Errno 111] Connection refused
42,medium,30,error,connection_error,0.534,1771060422.839492,1771060422.840026,2026-02-14T09:13:42.839492+00:00,2026-02-14T09:13:42.840026+00:00,,,,180.0,[Errno 111] Connection refused
43,large,500,error,connection_error,0.981,1771060423.057747,1771060423.058729,2026-02-14T09:13:43.057747+00:00,2026-02-14T09:13:43.058729+00:00,,,,180.0,[Errno 111] Connection refused
44,medium,30,error,connection_error,0.499,1771060423.097349,1771060423.097849,2026-02-14T09:13:43.097349+00:00,2026-02-14T09:13:43.097849+00:00,,,,180.0,[Errno 111] Connection refused
45,large,500,error,connection_error,1.039,1771060423.335556,1771060423.336595,2026-02-14T09:13:43.335556+00:00,2026-02-14T09:13:43.336595+00:00,,,,180.0,[Errno 111] Connection refused
46,medium,30,error,connection_error,0.489,1771060423.412146,1771060423.412636,2026-02-14T09:13:43.412146+00:00,2026-02-14T09:13:43.412636+00:00,,,,180.0,[Errno 111] Connection refused
47,small,3,error,connection_error,0.586,1771060423.785509,1771060423.786095,2026-02-14T09:13:43.785509+00:00,2026-02-14T09:13:43.786095+00:00,,,,180.0,[Errno 111] Connection refused
48,medium,30,error,connection_error,0.518,1771060423.882779,1771060423.883298,2026-02-14T09:13:43.882779+00:00,2026-02-14T09:13:43.883298+00:00,,,,180.0,[Errno 111] Connection refused
49,small,3,error,connection_error,0.408,1771060423.893687,1771060423.894095,2026-02-14T09:13:43.893687+00:00,2026-02-14T09:13:43.894095+00:00,,,,180.0,[Errno 111] Connection refused
50,medium,30,error,connection_error,0.458,1771060424.17579,1771060424.176248,2026-02-14T09:13:44.175790+00:00,2026-02-14T09:13:44.176248+00:00,,,,180.0,[Errno 111] Connection refused
51,large,500,error,connection_error,1.001,1771060424.345973,1771060424.346973,2026-02-14T09:13:44.345973+00:00,2026-02-14T09:13:44.346973+00:00,,,,180.0,[Errno 111] Connection refused
52,small,3,error,connection_error,0.482,1771060424.635821,1771060424.636304,2026-02-14T09:13:44.635821+00:00,2026-02-14T09:13:44.636304+00:00,,,,180.0,[Errno 111] Connection refused
53,small,3,error,connection_error,0.395,1771060424.637705,1771060424.638099,2026-02-14T09:13:44.637705+00:00,2026-02-14T09:13:44.638099+00:00,,,,180.0,[Errno 111] Connection refused
54,medium,30,error,connection_error,0.52,1771060424.882792,1771060424.883312,2026-02-14T09:13:44.882792+00:00,2026-02-14T09:13:44.883312+00:00,,,,180.0,[Errno 111] Connection refused
55,medium,30,error,connection_error,0.355,1771060424.906743,1771060424.907098,2026-02-14T09:13:44.906743+00:00,2026-02-14T09:13:44.907098+00:00,,,,180.0,[Errno 111] Connection refused
56,large,500,error,connection_error,1.243,1771060425.142778,1771060425.144022,2026-02-14T09:13:45.142778+00:00,2026-02-14T09:13:45.144022+00:00,,,,180.0,[Errno 111] Connection refused
57,small,3,error,connection_error,0.434,1771060425.431797,1771060425.432231,2026-02-14T09:13:45.431797+00:00,2026-02-14T09:13:45.432231+00:00,,,,180.0,[Errno 111] Connection refused
58,small,3,error,connection_error,0.403,1771060425.67096,1771060425.671364,2026-02-14T09:13:45.670960+00:00,2026-02-14T09:13:45.671364+00:00,,,,180.0,[Errno 111] Connection refused
59,medium,30,error,connection_error,0.69,1771060426.409565,1771060426.410256,2026-02-14T09:13:46.409565+00:00,2026-02-14T09:13:46.410256+00:00,,,,180.0,[Errno 111] Connection refused
60,medium,30,error,connection_error,0.491,1771060426.627039,1771060426.62753,2026-02-14T09:13:46.627039+00:00,2026-02-14T09:13:46.627530+00:00,,,,180.0,[Errno 111] Connection refused
61,medium,30,error,connection_error,0.457,1771060426.629958,1771060426.630415,2026-02-14T09:13:46.629958+00:00,2026-02-14T09:13:46.630415+00:00,,,,180.0,[Errno 111] Connection refused
62,small,3,error,connection_error,0.382,1771060426.837063,1771060426.837446,2026-02-14T09:13:46.837063+00:00,2026-02-14T09:13:46.837446+00:00,,,,180.0,[Errno 111] Connection refused
63,small,3,error,connection_error,0.373,1771060426.892976,1771060426.893348,2026-02-14T09:13:46.892976+00:00,2026-02-14T09:13:46.893348+00:00,,,,180.0,[Errno 111] Connection refused
64,large,500,error,connection_error,1.064,1771060426.981978,1771060426.983043,2026-02-14T09:13:46.981978+00:00,2026-02-14T09:13:46.983043+00:00,,,,180.0,[Errno 111] Connection refused
65,medium,30,error,connection_error,0.474,1771060427.115641,1771060427.116115,2026-02-14T09:13:47.115641+00:00,2026-02-14T09:13:47.116115+00:00,,,,180.0,[Errno 111] Connection refused
66,small,3,error,connection_error,0.441,1771060427.167607,1771060427.168048,2026-02-14T09:13:47.167607+00:00,2026-02-14T09:13:47.168048+00:00,,,,180.0,[Errno 111] Connection refused
67,medium,30,error,connection_error,0.455,1771060427.248629,1771060427.249084,2026-02-14T09:13:47.248629+00:00,2026-02-14T09:13:47.249084+00:00,,,,180.0,[Errno 111] Connection refused
68,small,3,error,connection_error,0.492,1771060427.322838,1771060427.32333,2026-02-14T09:13:47.322838+00:00,2026-02-14T09:13:47.323330+00:00,,,,180.0,[Errno 111] Connection refused
69,medium,30,error,connection_error,0.453,1771060427.330741,1771060427.331194,2026-02-14T09:13:47.330741+00:00,2026-02-14T09:13:47.331194+00:00,,,,180.0,[Errno 111] Connection refused
70,small,3,error,connection_error,0.447,1771060427.920136,1771060427.920584,2026-02-14T09:13:47.920136+00:00,2026-02-14T09:13:47.920584+00:00,,,,180.0,[Errno 111] Connection refused
71,medium,30,error,connection_error,0.601,1771060427.969102,1771060427.969704,2026-02-14T09:13:47.969102+00:00,2026-02-14T09:13:47.969704+00:00,,,,180.0,[Errno 111] Connection refused
72,small,3,error,connection_error,0.488,1771060428.248508,1771060428.248996,2026-02-14T09:13:48.248508+00:00,2026-02-14T09:13:48.248996+00:00,,,,180.0,[Errno 111] Connection refused
73,small,3,error,connection_error,0.423,1771060428.474688,1771060428.475111,2026-02-14T09:13:48.474688+00:00,2026-02-14T09:13:48.475111+00:00,,,,180.0,[Errno 111] Connection refused
74,medium,30,error,connection_error,0.434,1771060428.64671,1771060428.647145,2026-02-14T09:13:48.646710+00:00,2026-02-14T09:13:48.647145+00:00,,,,180.0,[Errno 111] Connection refused
75,medium,30,error,connection_error,0.423,1771060428.971009,1771060428.971432,2026-02-14T09:13:48.971009+00:00,2026-02-14T09:13:48.971432+00:00,,,,180.0,[Errno 111] Connection refused
76,large,500,error,connection_error,1.052,1771060429.117183,1771060429.118236,2026-02-14T09:13:49.117183+00:00,2026-02-14T09:13:49.118236+00:00,,,,180.0,[Errno 111] Connection refused
77,medium,30,error,connection_error,0.475,1771060429.289935,1771060429.290409,2026-02-14T09:13:49.289935+00:00,2026-02-14T09:13:49.290409+00:00,,,,180.0,[Errno 111] Connection refused
78,small,3,error,connection_error,0.391,1771060429.391975,1771060429.392367,2026-02-14T09:13:49.391975+00:00,2026-02-14T09:13:49.392367+00:00,,,,180.0,[Errno 111] Connection refused
79,medium,30,error,connection_error,0.426,1771060429.575071,1771060429.575496,2026-02-14T09:13:49.575071+00:00,2026-02-14T09:13:49.575496+00:00,,,,180.0,[Errno 111] Connection refused
80,small,3,error,connection_error,0.444,1771060429.771213,1771060429.771657,2026-02-14T09:13:49.771213+00:00,2026-02-14T09:13:49.771657+00:00,,,,180.0,[Errno 111] Connection refused
81,medium,30,error,connection_error,0.461,1771060429.907218,1771060429.907678,2026-02-14T09:13:49.907218+00:00,2026-02-14T09:13:49.907678+00:00,,,,180.0,[Errno 111] Connection refused
82,small,3,error,connection_error,1.054,1771060430.060155,1771060430.06121,2026-02-14T09:13:50.060155+00:00,2026-02-14T09:13:50.061210+00:00,,,,180.0,[Errno 111] Connection refused
83,medium,30,error,connection_error,0.975,1771060430.060493,1771060430.061469,2026-02-14T09:13:50.060493+00:00,2026-02-14T09:13:50.061469+00:00,,,,180.0,[Errno 111] Connection refused
84,small,3,error,connection_error,0.434,1771060430.227068,1771060430.227502,2026-02-14T09:13:50.227068+00:00,2026-02-14T09:13:50.227502+00:00,,,,180.0,[Errno 111] Connection refused
85,small,3,error,connection_error,0.414,1771060430.492261,1771060430.492676,2026-02-14T09:13:50.492261+00:00,2026-02-14T09:13:50.492676+00:00,,,,180.0,[Errno 111] Connection refused
86,small,3,error,connection_error,0.411,1771060430.726448,1771060430.726858,2026-02-14T09:13:50.726448+00:00,2026-02-14T09:13:50.726858+00:00,,,,180.0,[Errno 111] Connection refused
87,small,3,error,connection_error,0.482,1771060430.792481,1771060430.792964,2026-02-14T09:13:50.792481+00:00,2026-02-14T09:13:50.792964+00:00,,,,180.0,[Errno 111] Connection refused
88,small,3,error,connection_error,0.385,1771060431.713335,1771060431.713719,2026-02-14T09:13:51.713335+00:00,2026-02-14T09:13:51.713719+00:00,,,,180.0,[Errno 111] Connection refused
89,large,500,error,connection_error,1.044,1771060431.870388,1771060431.871433,2026-02-14T09:13:51.870388+00:00,2026-02-14T09:13:51.871433+00:00,,,,180.0,[Errno 111] Connection refused
90,small,3,error,connection_error,0.381,1771060431.948018,1771060431.948399,2026-02-14T09:13:51.948018+00:00,2026-02-14T09:13:51.948399+00:00,,,,180.0,[Errno 111] Connection refused
91,small,3,error,connection_error,0.445,1771060432.115115,1771060432.115561,2026-02-14T09:13:52.115115+00:00,2026-02-14T09:13:52.115561+00:00,,,,180.0,[Errno 111] Connection refused
