request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,small,3,ok,,27875.269,1771063891.590557,1771063919.465827,2026-02-14T10:11:31.590557+00:00,2026-02-14T10:11:59.465827+00:00,200,3,2,180.0,
1,small,3,ok,,23924.765,1771063919.466207,1771063943.390972,2026-02-14T10:11:59.466207+00:00,2026-02-14T10:12:23.390972+00:00,200,3,2,180.0,
2,small,3,ok,,24587.773,1771063943.391274,1771063967.979046,2026-02-14T10:12:23.391274+00:00,2026-02-14T10:12:47.979046+00:00,200,3,2,180.0,
3,small,3,ok,,24122.384,1771063967.979344,1771063992.101727,2026-02-14T10:12:47.979344+00:00,2026-02-14T10:13:12.101727+00:00,200,3,2,180.0,
4,small,3,ok,,12148.344,1771063992.102045,1771064004.250389,2026-02-14T10:13:12.102045+00:00,2026-02-14T10:13:24.250389+00:00,200,3,2,180.0,
5,small,3,ok,,55.019,1771064004.250677,1771064004.305696,2026-02-14T10:13:24.250677+00:00,2026-02-14T10:13:24.305696+00:00,200,3,2,180.0,
6,small,3,ok,,51.055,1771064004.305945,1771064004.357,2026-02-14T10:13:24.305945+00:00,2026-02-14T10:13:24.357000+00:00,200,3,2,180.0,
7,small,3,ok,,52.309,1771064004.357214,1771064004.409523,2026-02-14T10:13:24.357214+00:00,2026-02-14T10:13:24.409523+00:00,200,3,2,180.0,
8,small,3,ok,,52.82,1771064004.409745,1771064004.462564,2026-02-14T10:13:24.409745+00:00,2026-02-14T10:13:24.462564+00:00,200,3,2,180.0,
9,small,3,ok,,52.438,1771064004.462813,1771064004.515251,2026-02-14T10:13:24.462813+00:00,2026-02-14T10:13:24.515251+00:00,200,3,2,180.0,
