request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,medium,30,error,connection_error,18.893,1771063599.124706,1771063599.1436,2026-02-14T10:06:39.124706+00:00,2026-02-14T10:06:39.143600+00:00,,,,180.0,[Errno 111] Connection refused
1,small,3,error,connection_error,0.465,1771063599.88794,1771063599.888407,2026-02-14T10:06:39.887940+00:00,2026-02-14T10:06:39.888407+00:00,,,,180.0,[Errno 111] Connection refused
2,large,500,error,connection_error,1.113,1771063600.170238,1771063600.171353,2026-02-14T10:06:40.170238+00:00,2026-02-14T10:06:40.171353+00:00,,,,180.0,[Errno 111] Connection refused
3,large,500,error,connection_error,1.054,1771063600.317011,1771063600.318066,2026-02-14T10:06:40.317011+00:00,2026-02-14T10:06:40.318066+00:00,,,,180.0,[Errno 111] Connection refused
4,small,3,error,connection_error,0.417,1771063600.407634,1771063600.408051,2026-02-14T10:06:40.407634+00:00,2026-02-14T10:06:40.408051+00:00,,,,180.0,[Errno 111] Connection refused
5,small,3,error,connection_error,0.348,1771063600.453543,1771063600.453892,2026-02-14T10:06:40.453543+00:00,2026-02-14T10:06:40.453892+00:00,,,,180.0,[Errno 111] Connection refused
6,medium,30,error,connection_error,0.476,1771063600.609526,1771063600.610003,2026-02-14T10:06:40.609526+00:00,2026-02-14T10:06:40.610003+00:00,,,,180.0,[Errno 111] Connection refused
7,medium,30,error,connection_error,0.49,1771063601.004044,1771063601.004535,2026-02-14T10:06:41.004044+00:00,2026-02-14T10:06:41.004535+00:00,,,,180.0,[Errno 111] Connection refused
8,small,3,error,connection_error,0.368,1771063601.045029,1771063601.045398,2026-02-14T10:06:41.045029+00:00,2026-02-14T10:06:41.045398+00:00,,,,180.0,[Errno 111] Connection refused
9,small,3,error,connection_error,0.44,1771063601.746556,1771063601.746997,2026-02-14T10:06:41.746556+00:00,2026-02-14T10:06:41.746997+00:00,,,,180.0,[Errno 111] Connection refused
10,medium,30,error,connection_error,0.484,1771063601.977724,1771063601.978209,2026-02-14T10:06:41.977724+00:00,2026-02-14T10:06:41.978209+00:00,,,,180.0,[Errno 111] Connection refused
11,small,3,error,connection_error,0.422,1771063602.143842,1771063602.144265,2026-02-14T10:06:42.143842+00:00,2026-02-14T10:06:42.144265+00:00,,,,180.0,[Errno 111] Connection refused
12,small,3,error,connection_error,0.401,1771063602.212749,1771063602.213151,2026-02-14T10:06:42.212749+00:00,2026-02-14T10:06:42.213151+00:00,,,,180.0,[Errno 111] Connection refused
13,medium,30,error,connection_error,0.486,1771063602.786208,1771063602.786695,2026-02-14T10:06:42.786208+00:00,2026-02-14T10:06:42.786695+00:00,,,,180.0,[Errno 111] Connection refused
