request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,medium,30,ok,,121.705,1771062831.316874,1771062831.438579,2026-02-14T09:53:51.316874+00:00,2026-02-14T09:53:51.438579+00:00,200,30,2,180.0,
1,small,3,ok,,55.791,1771062831.698504,1771062831.754296,2026-02-14T09:53:51.698504+00:00,2026-02-14T09:53:51.754296+00:00,200,3,2,180.0,
5,small,3,error,connection_error,266.267,1771062831.981539,1771062832.247805,2026-02-14T09:53:51.981539+00:00,2026-02-14T09:53:52.247805+00:00,,,,180.0,Remote end closed connection without response
4,small,3,error,connection_error,289.32,1771062831.958843,1771062832.248162,2026-02-14T09:53:51.958843+00:00,2026-02-14T09:53:52.248162+00:00,,,,180.0,Remote end closed connection without response
2,large,500,error,connection_error,408.449,1771062831.839972,1771062832.248422,2026-02-14T09:53:51.839972+00:00,2026-02-14T09:53:52.248422+00:00,,,,180.0,Remote end closed connection without response
3,large,500,error,connection_error,335.11,1771062831.91341,1771062832.248519,2026-02-14T09:53:51.913410+00:00,2026-02-14T09:53:52.248519+00:00,,,,180.0,Remote end closed connection without response
6,medium,30,error,connection_error,0.471,1771062832.248833,1771062832.249304,2026-02-14T09:53:52.248833+00:00,2026-02-14T09:53:52.249304+00:00,,,,180.0,[Errno 111] Connection refused
7,medium,30,error,connection_error,0.452,1771062832.255588,1771062832.25604,2026-02-14T09:53:52.255588+00:00,2026-02-14T09:53:52.256040+00:00,,,,180.0,[Errno 111] Connection refused
8,small,3,error,connection_error,0.399,1771062832.277354,1771062832.277753,2026-02-14T09:53:52.277354+00:00,2026-02-14T09:53:52.277753+00:00,,,,180.0,[Errno 111] Connection refused
9,small,3,error,connection_error,0.49,1771062832.628545,1771062832.629036,2026-02-14T09:53:52.628545+00:00,2026-02-14T09:53:52.629036+00:00,,,,180.0,[Errno 111] Connection refused
10,medium,30,error,connection_error,0.614,1771062832.742577,1771062832.743191,2026-02-14T09:53:52.742577+00:00,2026-02-14T09:53:52.743191+00:00,,,,180.0,[Errno 111] Connection refused
11,small,3,error,connection_error,0.426,1771062832.826719,1771062832.827145,2026-02-14T09:53:52.826719+00:00,2026-02-14T09:53:52.827145+00:00,,,,180.0,[Errno 111] Connection refused
12,small,3,error,connection_error,0.448,1771062832.860606,1771062832.861055,2026-02-14T09:53:52.860606+00:00,2026-02-14T09:53:52.861055+00:00,,,,180.0,[Errno 111] Connection refused
13,medium,30,error,connection_error,0.72,1771062833.653092,1771062833.653813,2026-02-14T09:53:53.653092+00:00,2026-02-14T09:53:53.653813+00:00,,,,180.0,[Errno 111] Connection refused
14,medium,30,error,connection_error,0.491,1771062833.732461,1771062833.732952,2026-02-14T09:53:53.732461+00:00,2026-02-14T09:53:53.732952+00:00,,,,180.0,[Errno 111] Connection refused
15,small,3,error,connection_error,0.474,1771062833.750403,1771062833.750878,2026-02-14T09:53:53.750403+00:00,2026-02-14T09:53:53.750878+00:00,,,,180.0,[Errno 111] Connection refused
16,small,3,error,connection_error,0.478,1771062833.872469,1771062833.872948,2026-02-14T09:53:53.872469+00:00,2026-02-14T09:53:53.872948+00:00,,,,180.0,[Errno 111] Connection refused
17,small,3,error,connection_error,0.473,1771062834.052616,1771062834.05309,2026-02-14T09:53:54.052616+00:00,2026-02-14T09:53:54.053090+00:00,,,,180.0,[Errno 111] Connection refused
18,small,3,error,connection_error,0.429,1771062834.077556,1771062834.077984,2026-02-14T09:53:54.077556+00:00,2026-02-14T09:53:54.077984+00:00,,,,180.0,[Errno 111] Connection refused
19,medium,30,error,connection_error,0.477,1771062834.712044,1771062834.712521,2026-02-14T09:53:54.712044+00:00,2026-02-14T09:53:54.712521+00:00,,,,180.0,[Errno 111] Connection refused
20,medium,30,error,connection_error,0.474,1771062834.911207,1771062834.911681,2026-02-14T09:53:54.911207+00:00,2026-02-14T09:53:54.911681+00:00,,,,180.0,[Errno 111] Connection refused
21,small,3,error,connection_error,0.656,1771062835.382703,1771062835.383359,2026-02-14T09:53:55.382703+00:00,2026-02-14T09:53:55.383359+00:00,,,,180.0,[Errno 111] Connection refused
22,small,3,error,connection_error,0.392,1771062835.784239,1771062835.784631,2026-02-14T09:53:55.784239+00:00,2026-02-14T09:53:55.784631+00:00,,,,180.0,[Errno 111] Connection refused
23,small,3,error,connection_error,0.414,1771062836.451726,1771062836.452141,2026-02-14T09:53:56.451726+00:00,2026-02-14T09:53:56.452141+00:00,,,,180.0,[Errno 111] Connection refused
24,medium,30,error,connection_error,0.465,1771062836.850129,1771062836.850595,2026-02-14T09:53:56.850129+00:00,2026-02-14T09:53:56.850595+00:00,,,,180.0,[Errno 111] Connection refused
25,small,3,error,connection_error,0.458,1771062837.470709,1771062837.471167,2026-02-14T09:53:57.470709+00:00,2026-02-14T09:53:57.471167+00:00,,,,180.0,[Errno 111] Connection refused
26,medium,30,error,connection_error,0.463,1771062837.51163,1771062837.512093,2026-02-14T09:53:57.511630+00:00,2026-02-14T09:53:57.512093+00:00,,,,180.0,[Errno 111] Connection refused
27,medium,30,error,connection_error,0.506,1771062837.597634,1771062837.598141,2026-02-14T09:53:57.597634+00:00,2026-02-14T09:53:57.598141+00:00,,,,180.0,[Errno 111] Connection refused
