request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,small,3,ok,,27854.133,1771064726.455761,1771064754.309893,2026-02-14T10:25:26.455761+00:00,2026-02-14T10:25:54.309893+00:00,200,3,2,180.0,
1,small,3,ok,,55.185,1771064754.310328,1771064754.365512,2026-02-14T10:25:54.310328+00:00,2026-02-14T10:25:54.365512+00:00,200,3,2,180.0,
2,small,3,ok,,12106.836,1771064754.365802,1771064766.472637,2026-02-14T10:25:54.365802+00:00,2026-02-14T10:26:06.472637+00:00,200,3,2,180.0,
3,small,3,ok,,24160.886,1771064766.472964,1771064790.63385,2026-02-14T10:26:06.472964+00:00,2026-02-14T10:26:30.633850+00:00,200,3,2,180.0,
4,small,3,ok,,55.747,1771064790.634196,1771064790.689943,2026-02-14T10:26:30.634196+00:00,2026-02-14T10:26:30.689943+00:00,200,3,2,180.0,
5,small,3,ok,,24628.934,1771064790.690239,1771064815.319173,2026-02-14T10:26:30.690239+00:00,2026-02-14T10:26:55.319173+00:00,200,3,2,180.0,
6,small,3,ok,,55.949,1771064815.319521,1771064815.37547,2026-02-14T10:26:55.319521+00:00,2026-02-14T10:26:55.375470+00:00,200,3,2,180.0,
7,small,3,ok,,53.802,1771064815.375765,1771064815.429567,2026-02-14T10:26:55.375765+00:00,2026-02-14T10:26:55.429567+00:00,200,3,2,180.0,
8,small,3,ok,,52.882,1771064815.429877,1771064815.482758,2026-02-14T10:26:55.429877+00:00,2026-02-14T10:26:55.482758+00:00,200,3,2,180.0,
9,small,3,ok,,52.208,1771064815.483067,1771064815.535274,2026-02-14T10:26:55.483067+00:00,2026-02-14T10:26:55.535274+00:00,200,3,2,180.0,
