request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,medium,30,ok,,120.371,1771064423.453222,1771064423.573593,2026-02-14T10:20:23.453222+00:00,2026-02-14T10:20:23.573593+00:00,200,30,2,180.0,
1,small,3,ok,,55.933,1771064424.216988,1771064424.272921,2026-02-14T10:20:24.216988+00:00,2026-02-14T10:20:24.272921+00:00,200,3,2,180.0,
2,large,500,error,http_error,72173.084,1771064424.498709,1771064496.671793,2026-02-14T10:20:24.498709+00:00,2026-02-14T10:21:36.671793+00:00,400,,,180.0,"{""object"":""error"",""message"":""Scheduler subprocess is unavailable (dead pid(s): 936929). Please restart the server."",""type"":""BadRequestError"",""param"":null,""code"":400}"
4,small,3,error,http_error,20.43,1771064496.672174,1771064496.692604,2026-02-14T10:21:36.672174+00:00,2026-02-14T10:21:36.692604+00:00,400,,,180.0,"{""object"":""error"",""message"":""Scheduler subprocess is unavailable (dead pid(s): 936929). Please restart the server."",""type"":""BadRequestError"",""param"":null,""code"":400}"
5,small,3,error,http_error,15.283,1771064496.692849,1771064496.708132,2026-02-14T10:21:36.692849+00:00,2026-02-14T10:21:36.708132+00:00,400,,,180.0,"{""object"":""error"",""message"":""Scheduler subprocess is unavailable (dead pid(s): 936929). Please restart the server."",""type"":""BadRequestError"",""param"":null,""code"":400}"
6,medium,30,error,http_error,15.026,1771064496.70838,1771064496.723407,2026-02-14T10:21:36.708380+00:00,2026-02-14T10:21:36.723407+00:00,400,,,180.0,"{""object"":""error"",""message"":""Scheduler subprocess is unavailable (dead pid(s): 936929). Please restart the server."",""type"":""BadRequestError"",""param"":null,""code"":400}"
7,medium,30,error,http_error,14.963,1771064496.723632,1771064496.738595,2026-02-14T10:21:36.723632+00:00,2026-02-14T10:21:36.738595+00:00,400,,,180.0,"{""object"":""error"",""message"":""Scheduler subprocess is unavailable (dead pid(s): 936929). Please restart the server."",""type"":""BadRequestError"",""param"":null,""code"":400}"
8,small,3,error,http_error,14.881,1771064496.738851,1771064496.753733,2026-02-14T10:21:36.738851+00:00,2026-02-14T10:21:36.753733+00:00,400,,,180.0,"{""object"":""error"",""message"":""Scheduler subprocess is unavailable (dead pid(s): 936929). Please restart the server."",""type"":""BadRequestError"",""param"":null,""code"":400}"
9,small,3,error,http_error,14.744,1771064496.753986,1771064496.76873,2026-02-14T10:21:36.753986+00:00,2026-02-14T10:21:36.768730+00:00,400,,,180.0,"{""object"":""error"",""message"":""Scheduler subprocess is unavailable (dead pid(s): 936929). Please restart the server."",""type"":""BadRequestError"",""param"":null,""code"":400}"
10,medium,30,error,http_error,14.934,1771064496.768959,1771064496.783893,2026-02-14T10:21:36.768959+00:00,2026-02-14T10:21:36.783893+00:00,400,,,180.0,"{""object"":""error"",""message"":""Scheduler subprocess is unavailable (dead pid(s): 936929). Please restart the server."",""type"":""BadRequestError"",""param"":null,""code"":400}"
