request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,medium,30,ok,,31131.629,1771065968.271253,1771065999.402882,2026-02-14T10:46:08.271253+00:00,2026-02-14T10:46:39.402882+00:00,200,30,2,180.0,
1,small,3,ok,,10271.995,1771065999.403308,1771066009.675303,2026-02-14T10:46:39.403308+00:00,2026-02-14T10:46:49.675303+00:00,200,3,2,180.0,
2,large,500,ok,,20764.189,1771066009.675627,1771066030.439816,2026-02-14T10:46:49.675627+00:00,2026-02-14T10:47:10.439816+00:00,200,500,2,180.0,
3,large,500,ok,,1365.723,1771066030.44013,1771066031.805853,2026-02-14T10:47:10.440130+00:00,2026-02-14T10:47:11.805853+00:00,200,500,2,180.0,
4,small,3,ok,,60.554,1771066031.806195,1771066031.866748,2026-02-14T10:47:11.806195+00:00,2026-02-14T10:47:11.866748+00:00,200,3,2,180.0,
5,small,3,ok,,58.489,1771066031.867013,1771066031.925502,2026-02-14T10:47:11.867013+00:00,2026-02-14T10:47:11.925502+00:00,200,3,2,180.0,
6,medium,30,ok,,110.292,1771066031.925741,1771066032.036032,2026-02-14T10:47:11.925741+00:00,2026-02-14T10:47:12.036032+00:00,200,30,2,180.0,
7,medium,30,ok,,112.526,1771066032.036295,1771066032.148821,2026-02-14T10:47:12.036295+00:00,2026-02-14T10:47:12.148821+00:00,200,30,2,180.0,
8,small,3,ok,,55.621,1771066032.149091,1771066032.204712,2026-02-14T10:47:12.149091+00:00,2026-02-14T10:47:12.204712+00:00,200,3,2,180.0,
9,small,3,ok,,53.19,1771066032.204964,1771066032.258154,2026-02-14T10:47:12.204964+00:00,2026-02-14T10:47:12.258154+00:00,200,3,2,180.0,
