request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,large,500,error,connection_error,19.433,1771082454.655994,1771082454.675427,2026-02-14T15:20:54.655994+00:00,2026-02-14T15:20:54.675427+00:00,,,,180.0,[Errno 111] Connection refused
1,large,500,error,connection_error,1.218,1771082456.182565,1771082456.183784,2026-02-14T15:20:56.182565+00:00,2026-02-14T15:20:56.183784+00:00,,,,180.0,[Errno 111] Connection refused
2,large,500,error,connection_error,0.989,1771082456.746859,1771082456.747849,2026-02-14T15:20:56.746859+00:00,2026-02-14T15:20:56.747849+00:00,,,,180.0,[Errno 111] Connection refused
3,large,500,error,connection_error,1.017,1771082457.040637,1771082457.041655,2026-02-14T15:20:57.040637+00:00,2026-02-14T15:20:57.041655+00:00,,,,180.0,[Errno 111] Connection refused
4,large,500,error,connection_error,1.057,1771082457.221374,1771082457.222431,2026-02-14T15:20:57.221374+00:00,2026-02-14T15:20:57.222431+00:00,,,,180.0,[Errno 111] Connection refused
5,large,500,error,connection_error,1.045,1771082457.314046,1771082457.315091,2026-02-14T15:20:57.314046+00:00,2026-02-14T15:20:57.315091+00:00,,,,180.0,[Errno 111] Connection refused
6,large,500,error,connection_error,1.071,1771082457.626001,1771082457.627072,2026-02-14T15:20:57.626001+00:00,2026-02-14T15:20:57.627072+00:00,,,,180.0,[Errno 111] Connection refused
7,large,500,error,connection_error,1.319,1771082458.413387,1771082458.414707,2026-02-14T15:20:58.413387+00:00,2026-02-14T15:20:58.414707+00:00,,,,180.0,[Errno 111] Connection refused
8,large,500,error,connection_error,1.022,1771082458.497309,1771082458.498331,2026-02-14T15:20:58.497309+00:00,2026-02-14T15:20:58.498331+00:00,,,,180.0,[Errno 111] Connection refused
9,large,500,error,connection_error,0.972,1771082459.899235,1771082459.900208,2026-02-14T15:20:59.899235+00:00,2026-02-14T15:20:59.900208+00:00,,,,180.0,[Errno 111] Connection refused
10,large,500,error,connection_error,0.969,1771082460.361165,1771082460.362135,2026-02-14T15:21:00.361165+00:00,2026-02-14T15:21:00.362135+00:00,,,,180.0,[Errno 111] Connection refused
11,large,500,error,connection_error,0.96,1771082460.693976,1771082460.694937,2026-02-14T15:21:00.693976+00:00,2026-02-14T15:21:00.694937+00:00,,,,180.0,[Errno 111] Connection refused
12,large,500,error,connection_error,0.968,1771082460.830538,1771082460.831506,2026-02-14T15:21:00.830538+00:00,2026-02-14T15:21:00.831506+00:00,,,,180.0,[Errno 111] Connection refused
13,large,500,error,connection_error,1.018,1771082461.978181,1771082461.9792,2026-02-14T15:21:01.978181+00:00,2026-02-14T15:21:01.979200+00:00,,,,180.0,[Errno 111] Connection refused
14,large,500,error,connection_error,1.041,1771082464.322154,1771082464.323196,2026-02-14T15:21:04.322154+00:00,2026-02-14T15:21:04.323196+00:00,,,,180.0,[Errno 111] Connection refused
15,large,500,error,connection_error,1.004,1771082464.391759,1771082464.392764,2026-02-14T15:21:04.391759+00:00,2026-02-14T15:21:04.392764+00:00,,,,180.0,[Errno 111] Connection refused
16,large,500,error,connection_error,1.046,1771082464.879811,1771082464.880857,2026-02-14T15:21:04.879811+00:00,2026-02-14T15:21:04.880857+00:00,,,,180.0,[Errno 111] Connection refused
17,large,500,error,connection_error,1.058,1771082465.601135,1771082465.602194,2026-02-14T15:21:05.601135+00:00,2026-02-14T15:21:05.602194+00:00,,,,180.0,[Errno 111] Connection refused
