request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,medium,30,error,connection_error,18.751,1771081857.114684,1771081857.133437,2026-02-14T15:10:57.114684+00:00,2026-02-14T15:10:57.133437+00:00,,,,180.0,[Errno 111] Connection refused
1,small,3,error,connection_error,0.645,1771081858.037236,1771081858.037882,2026-02-14T15:10:58.037236+00:00,2026-02-14T15:10:58.037882+00:00,,,,180.0,[Errno 111] Connection refused
2,medium,30,error,connection_error,0.481,1771081858.163619,1771081858.164101,2026-02-14T15:10:58.163619+00:00,2026-02-14T15:10:58.164101+00:00,,,,180.0,[Errno 111] Connection refused
3,medium,30,error,connection_error,0.477,1771081858.307707,1771081858.308185,2026-02-14T15:10:58.307707+00:00,2026-02-14T15:10:58.308185+00:00,,,,180.0,[Errno 111] Connection refused
4,small,3,error,connection_error,0.415,1771081858.397925,1771081858.398341,2026-02-14T15:10:58.397925+00:00,2026-02-14T15:10:58.398341+00:00,,,,180.0,[Errno 111] Connection refused
5,small,3,error,connection_error,0.347,1771081858.443768,1771081858.444116,2026-02-14T15:10:58.443768+00:00,2026-02-14T15:10:58.444116+00:00,,,,180.0,[Errno 111] Connection refused
6,medium,30,error,connection_error,0.475,1771081858.599705,1771081858.600181,2026-02-14T15:10:58.599705+00:00,2026-02-14T15:10:58.600181+00:00,,,,180.0,[Errno 111] Connection refused
7,medium,30,error,connection_error,0.439,1771081858.993034,1771081858.993474,2026-02-14T15:10:58.993034+00:00,2026-02-14T15:10:58.993474+00:00,,,,180.0,[Errno 111] Connection refused
8,small,3,error,connection_error,0.344,1771081859.034896,1771081859.03524,2026-02-14T15:10:59.034896+00:00,2026-02-14T15:10:59.035240+00:00,,,,180.0,[Errno 111] Connection refused
9,small,3,error,connection_error,0.428,1771081859.736413,1771081859.736842,2026-02-14T15:10:59.736413+00:00,2026-02-14T15:10:59.736842+00:00,,,,180.0,[Errno 111] Connection refused
10,small,3,error,connection_error,0.433,1771081859.967582,1771081859.968015,2026-02-14T15:10:59.967582+00:00,2026-02-14T15:10:59.968015+00:00,,,,180.0,[Errno 111] Connection refused
11,small,3,error,connection_error,0.453,1771081860.133633,1771081860.134087,2026-02-14T15:11:00.133633+00:00,2026-02-14T15:11:00.134087+00:00,,,,180.0,[Errno 111] Connection refused
12,small,3,error,connection_error,0.429,1771081860.202615,1771081860.203045,2026-02-14T15:11:00.202615+00:00,2026-02-14T15:11:00.203045+00:00,,,,180.0,[Errno 111] Connection refused
13,medium,30,error,connection_error,0.462,1771081860.776101,1771081860.776563,2026-02-14T15:11:00.776101+00:00,2026-02-14T15:11:00.776563+00:00,,,,180.0,[Errno 111] Connection refused
