request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,small,3,error,connection_error,18.704,1771082632.313897,1771082632.332621,2026-02-14T15:23:52.313897+00:00,2026-02-14T15:23:52.332621+00:00,,,,180.0,[Errno 111] Connection refused
1,small,3,error,connection_error,0.538,1771082633.84079,1771082633.841328,2026-02-14T15:23:53.840790+00:00,2026-02-14T15:23:53.841328+00:00,,,,180.0,[Errno 111] Connection refused
2,small,3,error,connection_error,0.43,1771082634.405399,1771082634.405829,2026-02-14T15:23:54.405399+00:00,2026-02-14T15:23:54.405829+00:00,,,,180.0,[Errno 111] Connection refused
3,small,3,error,connection_error,0.462,1771082634.698655,1771082634.699118,2026-02-14T15:23:54.698655+00:00,2026-02-14T15:23:54.699118+00:00,,,,180.0,[Errno 111] Connection refused
4,small,3,error,connection_error,0.6,1771082634.879732,1771082634.880332,2026-02-14T15:23:54.879732+00:00,2026-02-14T15:23:54.880332+00:00,,,,180.0,[Errno 111] Connection refused
5,small,3,error,connection_error,0.383,1771082634.971841,1771082634.972224,2026-02-14T15:23:54.971841+00:00,2026-02-14T15:23:54.972224+00:00,,,,180.0,[Errno 111] Connection refused
6,small,3,error,connection_error,0.395,1771082635.283998,1771082635.284393,2026-02-14T15:23:55.283998+00:00,2026-02-14T15:23:55.284393+00:00,,,,180.0,[Errno 111] Connection refused
7,small,3,error,connection_error,0.466,1771082636.071717,1771082636.072184,2026-02-14T15:23:56.071717+00:00,2026-02-14T15:23:56.072184+00:00,,,,180.0,[Errno 111] Connection refused
8,small,3,error,connection_error,0.449,1771082636.15578,1771082636.156229,2026-02-14T15:23:56.155780+00:00,2026-02-14T15:23:56.156229+00:00,,,,180.0,[Errno 111] Connection refused
9,small,3,error,connection_error,0.452,1771082637.5572,1771082637.557652,2026-02-14T15:23:57.557200+00:00,2026-02-14T15:23:57.557652+00:00,,,,180.0,[Errno 111] Connection refused
