request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,small,3,error,connection_error,23852.134,1771082775.960929,1771082799.813063,2026-02-14T15:26:15.960929+00:00,2026-02-14T15:26:39.813063+00:00,,,,180.0,Remote end closed connection without response
1,small,3,error,connection_error,0.417,1771082799.81355,1771082799.813968,2026-02-14T15:26:39.813550+00:00,2026-02-14T15:26:39.813968+00:00,,,,180.0,[Errno 111] Connection refused
2,small,3,error,connection_error,0.257,1771082799.814166,1771082799.814423,2026-02-14T15:26:39.814166+00:00,2026-02-14T15:26:39.814423+00:00,,,,180.0,[Errno 111] Connection refused
3,small,3,error,connection_error,0.236,1771082799.814596,1771082799.814832,2026-02-14T15:26:39.814596+00:00,2026-02-14T15:26:39.814832+00:00,,,,180.0,[Errno 111] Connection refused
4,small,3,error,connection_error,0.248,1771082799.815019,1771082799.815268,2026-02-14T15:26:39.815019+00:00,2026-02-14T15:26:39.815268+00:00,,,,180.0,[Errno 111] Connection refused
5,small,3,error,connection_error,0.396,1771082799.815434,1771082799.81583,2026-02-14T15:26:39.815434+00:00,2026-02-14T15:26:39.815830+00:00,,,,180.0,[Errno 111] Connection refused
6,small,3,error,connection_error,0.23,1771082799.816008,1771082799.816239,2026-02-14T15:26:39.816008+00:00,2026-02-14T15:26:39.816239+00:00,,,,180.0,[Errno 111] Connection refused
7,small,3,error,connection_error,0.222,1771082799.816381,1771082799.816603,2026-02-14T15:26:39.816381+00:00,2026-02-14T15:26:39.816603+00:00,,,,180.0,[Errno 111] Connection refused
8,small,3,error,connection_error,0.242,1771082799.816742,1771082799.816984,2026-02-14T15:26:39.816742+00:00,2026-02-14T15:26:39.816984+00:00,,,,180.0,[Errno 111] Connection refused
9,small,3,error,connection_error,0.224,1771082799.817149,1771082799.817373,2026-02-14T15:26:39.817149+00:00,2026-02-14T15:26:39.817373+00:00,,,,180.0,[Errno 111] Connection refused
