request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,medium,30,error,connection_error,18.904,1771082555.044611,1771082555.063516,2026-02-14T15:22:35.044611+00:00,2026-02-14T15:22:35.063516+00:00,,,,180.0,[Errno 111] Connection refused
1,small,3,error,connection_error,0.468,1771082556.952991,1771082556.953459,2026-02-14T15:22:36.952991+00:00,2026-02-14T15:22:36.953459+00:00,,,,180.0,[Errno 111] Connection refused
2,large,500,error,connection_error,1.053,1771082557.658702,1771082557.659756,2026-02-14T15:22:37.658702+00:00,2026-02-14T15:22:37.659756+00:00,,,,180.0,[Errno 111] Connection refused
3,large,500,error,connection_error,1.077,1771082558.025732,1771082558.02681,2026-02-14T15:22:38.025732+00:00,2026-02-14T15:22:38.026810+00:00,,,,180.0,[Errno 111] Connection refused
4,small,3,error,connection_error,0.48,1771082558.251613,1771082558.252095,2026-02-14T15:22:38.251613+00:00,2026-02-14T15:22:38.252095+00:00,,,,180.0,[Errno 111] Connection refused
5,small,3,error,connection_error,0.408,1771082558.366702,1771082558.367111,2026-02-14T15:22:38.366702+00:00,2026-02-14T15:22:38.367111+00:00,,,,180.0,[Errno 111] Connection refused
6,medium,30,error,connection_error,0.496,1771082558.758067,1771082558.758564,2026-02-14T15:22:38.758067+00:00,2026-02-14T15:22:38.758564+00:00,,,,180.0,[Errno 111] Connection refused
7,medium,30,error,connection_error,0.49,1771082559.74223,1771082559.742721,2026-02-14T15:22:39.742230+00:00,2026-02-14T15:22:39.742721+00:00,,,,180.0,[Errno 111] Connection refused
8,small,3,error,connection_error,0.434,1771082559.84831,1771082559.848744,2026-02-14T15:22:39.848310+00:00,2026-02-14T15:22:39.848744+00:00,,,,180.0,[Errno 111] Connection refused
9,small,3,error,connection_error,0.531,1771082561.598078,1771082561.59861,2026-02-14T15:22:41.598078+00:00,2026-02-14T15:22:41.598610+00:00,,,,180.0,[Errno 111] Connection refused
10,medium,30,error,connection_error,0.503,1771082562.176699,1771082562.177203,2026-02-14T15:22:42.176699+00:00,2026-02-14T15:22:42.177203+00:00,,,,180.0,[Errno 111] Connection refused
11,small,3,error,connection_error,0.457,1771082562.593146,1771082562.593604,2026-02-14T15:22:42.593146+00:00,2026-02-14T15:22:42.593604+00:00,,,,180.0,[Errno 111] Connection refused
12,small,3,error,connection_error,0.433,1771082562.763285,1771082562.763719,2026-02-14T15:22:42.763285+00:00,2026-02-14T15:22:42.763719+00:00,,,,180.0,[Errno 111] Connection refused
13,medium,30,error,connection_error,0.508,1771082564.196707,1771082564.197216,2026-02-14T15:22:44.196707+00:00,2026-02-14T15:22:44.197216+00:00,,,,180.0,[Errno 111] Connection refused
14,medium,30,error,connection_error,0.503,1771082567.126632,1771082567.127136,2026-02-14T15:22:47.126632+00:00,2026-02-14T15:22:47.127136+00:00,,,,180.0,[Errno 111] Connection refused
