request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,large,500,error,connection_error,18.909,1771083974.263836,1771083974.282744,2026-02-14T15:46:14.263836+00:00,2026-02-14T15:46:14.282744+00:00,,,,180.0,[Errno 111] Connection refused
1,large,500,error,connection_error,1.184,1771083975.790788,1771083975.791972,2026-02-14T15:46:15.790788+00:00,2026-02-14T15:46:15.791972+00:00,,,,180.0,[Errno 111] Connection refused
2,large,500,error,connection_error,1.027,1771083976.355038,1771083976.356064,2026-02-14T15:46:16.355038+00:00,2026-02-14T15:46:16.356064+00:00,,,,180.0,[Errno 111] Connection refused
3,large,500,error,connection_error,1.026,1771083976.648807,1771083976.649833,2026-02-14T15:46:16.648807+00:00,2026-02-14T15:46:16.649833+00:00,,,,180.0,[Errno 111] Connection refused
4,large,500,error,connection_error,1.037,1771083976.829482,1771083976.830519,2026-02-14T15:46:16.829482+00:00,2026-02-14T15:46:16.830519+00:00,,,,180.0,[Errno 111] Connection refused
5,large,500,error,connection_error,0.972,1771083976.922005,1771083976.922977,2026-02-14T15:46:16.922005+00:00,2026-02-14T15:46:16.922977+00:00,,,,180.0,[Errno 111] Connection refused
6,large,500,error,connection_error,1.033,1771083977.234727,1771083977.235761,2026-02-14T15:46:17.234727+00:00,2026-02-14T15:46:17.235761+00:00,,,,180.0,[Errno 111] Connection refused
7,large,500,error,connection_error,1.327,1771083978.021053,1771083978.02238,2026-02-14T15:46:18.021053+00:00,2026-02-14T15:46:18.022380+00:00,,,,180.0,[Errno 111] Connection refused
8,large,500,error,connection_error,1.029,1771083978.105891,1771083978.10692,2026-02-14T15:46:18.105891+00:00,2026-02-14T15:46:18.106920+00:00,,,,180.0,[Errno 111] Connection refused
9,large,500,error,connection_error,0.982,1771083979.505772,1771083979.506753,2026-02-14T15:46:19.505772+00:00,2026-02-14T15:46:19.506753+00:00,,,,180.0,[Errno 111] Connection refused
10,large,500,error,connection_error,1.023,1771083979.969692,1771083979.970715,2026-02-14T15:46:19.969692+00:00,2026-02-14T15:46:19.970715+00:00,,,,180.0,[Errno 111] Connection refused
11,large,500,error,connection_error,0.996,1771083980.301505,1771083980.302502,2026-02-14T15:46:20.301505+00:00,2026-02-14T15:46:20.302502+00:00,,,,180.0,[Errno 111] Connection refused
12,large,500,error,connection_error,0.943,1771083980.438053,1771083980.438996,2026-02-14T15:46:20.438053+00:00,2026-02-14T15:46:20.438996+00:00,,,,180.0,[Errno 111] Connection refused
13,large,500,error,connection_error,0.964,1771083981.585542,1771083981.586506,2026-02-14T15:46:21.585542+00:00,2026-02-14T15:46:21.586506+00:00,,,,180.0,[Errno 111] Connection refused
