request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,medium,30,ok,,123.341,1771083376.72255,1771083376.845891,2026-02-14T15:36:16.722550+00:00,2026-02-14T15:36:16.845891+00:00,200,30,2,180.0,
1,small,3,ok,,53.709,1771083377.486254,1771083377.539963,2026-02-14T15:36:17.486254+00:00,2026-02-14T15:36:17.539963+00:00,200,3,2,180.0,
2,medium,30,ok,,99.292,1771083377.767791,1771083377.867083,2026-02-14T15:36:17.767791+00:00,2026-02-14T15:36:17.867083+00:00,200,30,2,180.0,
3,medium,30,ok,,120.036,1771083377.914682,1771083378.034718,2026-02-14T15:36:17.914682+00:00,2026-02-14T15:36:18.034718+00:00,200,30,2,180.0,
4,small,3,ok,,72.62,1771083378.005119,1771083378.077738,2026-02-14T15:36:18.005119+00:00,2026-02-14T15:36:18.077738+00:00,200,3,2,180.0,
5,small,3,ok,,58.376,1771083378.051182,1771083378.109558,2026-02-14T15:36:18.051182+00:00,2026-02-14T15:36:18.109558+00:00,200,3,2,180.0,
6,medium,30,ok,,105.26,1771083378.207092,1771083378.312351,2026-02-14T15:36:18.207092+00:00,2026-02-14T15:36:18.312351+00:00,200,30,2,180.0,
8,small,3,ok,,69.433,1771083378.643336,1771083378.712769,2026-02-14T15:36:18.643336+00:00,2026-02-14T15:36:18.712769+00:00,200,3,2,180.0,
7,medium,30,ok,,121.665,1771083378.602158,1771083378.723824,2026-02-14T15:36:18.602158+00:00,2026-02-14T15:36:18.723824+00:00,200,30,2,180.0,
9,small,3,ok,,55.379,1771083379.34389,1771083379.399268,2026-02-14T15:36:19.343890+00:00,2026-02-14T15:36:19.399268+00:00,200,3,2,180.0,
10,small,3,ok,,55.836,1771083379.575955,1771083379.631791,2026-02-14T15:36:19.575955+00:00,2026-02-14T15:36:19.631791+00:00,200,3,2,180.0,
11,small,3,ok,,55.558,1771083379.741441,1771083379.796999,2026-02-14T15:36:19.741441+00:00,2026-02-14T15:36:19.796999+00:00,200,3,2,180.0,
12,small,3,ok,,52.331,1771083379.809419,1771083379.861751,2026-02-14T15:36:19.809419+00:00,2026-02-14T15:36:19.861751+00:00,200,3,2,180.0,
13,medium,30,ok,,102.445,1771083380.382785,1771083380.485229,2026-02-14T15:36:20.382785+00:00,2026-02-14T15:36:20.485229+00:00,200,30,2,180.0,
15,small,3,error,connection_error,8156.768,1771083381.589968,1771083389.746735,2026-02-14T15:36:21.589968+00:00,2026-02-14T15:36:29.746735+00:00,,,,180.0,Remote end closed connection without response
14,medium,30,error,connection_error,8191.186,1771083381.555815,1771083389.747001,2026-02-14T15:36:21.555815+00:00,2026-02-14T15:36:29.747001+00:00,,,,180.0,Remote end closed connection without response
16,small,3,error,connection_error,0.676,1771083389.747308,1771083389.747983,2026-02-14T15:36:29.747308+00:00,2026-02-14T15:36:29.747983+00:00,,,,180.0,[Errno 111] Connection refused
17,small,3,error,connection_error,0.486,1771083389.747576,1771083389.748062,2026-02-14T15:36:29.747576+00:00,2026-02-14T15:36:29.748062+00:00,,,,180.0,[Errno 111] Connection refused
18,small,3,error,connection_error,0.652,1771083389.748301,1771083389.748953,2026-02-14T15:36:29.748301+00:00,2026-02-14T15:36:29.748953+00:00,,,,180.0,[Errno 111] Connection refused
19,small,3,error,connection_error,0.433,1771083389.74865,1771083389.749083,2026-02-14T15:36:29.748650+00:00,2026-02-14T15:36:29.749083+00:00,,,,180.0,[Errno 111] Connection refused
21,small,3,error,connection_error,0.264,1771083389.749542,1771083389.749806,2026-02-14T15:36:29.749542+00:00,2026-02-14T15:36:29.749806+00:00,,,,180.0,[Errno 111] Connection refused
20,medium,30,error,connection_error,0.591,1771083389.749289,1771083389.74988,2026-02-14T15:36:29.749289+00:00,2026-02-14T15:36:29.749880+00:00,,,,180.0,[Errno 111] Connection refused
22,small,3,error,connection_error,0.479,1771083389.750116,1771083389.750595,2026-02-14T15:36:29.750116+00:00,2026-02-14T15:36:29.750595+00:00,,,,180.0,[Errno 111] Connection refused
23,small,3,error,connection_error,0.311,1771083389.750323,1771083389.750634,2026-02-14T15:36:29.750323+00:00,2026-02-14T15:36:29.750634+00:00,,,,180.0,[Errno 111] Connection refused
24,small,3,error,connection_error,0.484,1771083389.750866,1771083389.751349,2026-02-14T15:36:29.750866+00:00,2026-02-14T15:36:29.751349+00:00,,,,180.0,[Errno 111] Connection refused
25,small,3,error,connection_error,0.371,1771083389.751078,1771083389.751449,2026-02-14T15:36:29.751078+00:00,2026-02-14T15:36:29.751449+00:00,,,,180.0,[Errno 111] Connection refused
26,medium,30,error,connection_error,0.563,1771083389.7517,1771083389.752262,2026-02-14T15:36:29.751700+00:00,2026-02-14T15:36:29.752262+00:00,,,,180.0,[Errno 111] Connection refused
27,medium,30,error,connection_error,0.466,1771083389.75196,1771083389.752425,2026-02-14T15:36:29.751960+00:00,2026-02-14T15:36:29.752425+00:00,,,,180.0,[Errno 111] Connection refused
28,small,3,error,connection_error,0.434,1771083390.017084,1771083390.017518,2026-02-14T15:36:30.017084+00:00,2026-02-14T15:36:30.017518+00:00,,,,180.0,[Errno 111] Connection refused
29,medium,30,error,connection_error,0.49,1771083390.295387,1771083390.295877,2026-02-14T15:36:30.295387+00:00,2026-02-14T15:36:30.295877+00:00,,,,180.0,[Errno 111] Connection refused
30,medium,30,error,connection_error,0.608,1771083391.165664,1771083391.166272,2026-02-14T15:36:31.165664+00:00,2026-02-14T15:36:31.166272+00:00,,,,180.0,[Errno 111] Connection refused
31,small,3,error,connection_error,5.138,1771083391.271858,1771083391.276998,2026-02-14T15:36:31.271858+00:00,2026-02-14T15:36:31.276998+00:00,,,,180.0,[Errno 111] Connection refused
32,medium,30,error,connection_error,0.458,1771083391.493114,1771083391.493573,2026-02-14T15:36:31.493114+00:00,2026-02-14T15:36:31.493573+00:00,,,,180.0,[Errno 111] Connection refused
33,medium,30,error,connection_error,0.49,1771083391.503994,1771083391.504484,2026-02-14T15:36:31.503994+00:00,2026-02-14T15:36:31.504484+00:00,,,,180.0,[Errno 111] Connection refused
34,small,3,error,connection_error,0.438,1771083391.562887,1771083391.563326,2026-02-14T15:36:31.562887+00:00,2026-02-14T15:36:31.563326+00:00,,,,180.0,[Errno 111] Connection refused
35,small,3,error,connection_error,0.455,1771083392.057148,1771083392.057604,2026-02-14T15:36:32.057148+00:00,2026-02-14T15:36:32.057604+00:00,,,,180.0,[Errno 111] Connection refused
36,medium,30,error,connection_error,0.485,1771083392.720788,1771083392.721273,2026-02-14T15:36:32.720788+00:00,2026-02-14T15:36:32.721273+00:00,,,,180.0,[Errno 111] Connection refused
37,small,3,error,connection_error,0.456,1771083392.733723,1771083392.734181,2026-02-14T15:36:32.733723+00:00,2026-02-14T15:36:32.734181+00:00,,,,180.0,[Errno 111] Connection refused
38,medium,30,error,connection_error,0.48,1771083392.84772,1771083392.848201,2026-02-14T15:36:32.847720+00:00,2026-02-14T15:36:32.848201+00:00,,,,180.0,[Errno 111] Connection refused
39,medium,30,error,connection_error,0.488,1771083393.376202,1771083393.376691,2026-02-14T15:36:33.376202+00:00,2026-02-14T15:36:33.376691+00:00,,,,180.0,[Errno 111] Connection refused
40,small,3,error,connection_error,0.402,1771083393.504342,1771083393.504744,2026-02-14T15:36:33.504342+00:00,2026-02-14T15:36:33.504744+00:00,,,,180.0,[Errno 111] Connection refused
41,small,3,error,connection_error,0.482,1771083393.753773,1771083393.754256,2026-02-14T15:36:33.753773+00:00,2026-02-14T15:36:33.754256+00:00,,,,180.0,[Errno 111] Connection refused
42,small,3,error,connection_error,0.396,1771083394.12111,1771083394.121506,2026-02-14T15:36:34.121110+00:00,2026-02-14T15:36:34.121506+00:00,,,,180.0,[Errno 111] Connection refused
