request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,medium,30,error,connection_error,18.626,1771084074.650749,1771084074.669375,2026-02-14T15:47:54.650749+00:00,2026-02-14T15:47:54.669375+00:00,,,,180.0,[Errno 111] Connection refused
1,small,3,error,connection_error,0.497,1771084076.560766,1771084076.561256,2026-02-14T15:47:56.560766+00:00,2026-02-14T15:47:56.561256+00:00,,,,180.0,[Errno 111] Connection refused
2,large,500,error,connection_error,1.084,1771084077.266414,1771084077.267499,2026-02-14T15:47:57.266414+00:00,2026-02-14T15:47:57.267499+00:00,,,,180.0,[Errno 111] Connection refused
3,large,500,error,connection_error,1.031,1771084077.631321,1771084077.632353,2026-02-14T15:47:57.631321+00:00,2026-02-14T15:47:57.632353+00:00,,,,180.0,[Errno 111] Connection refused
4,small,3,error,connection_error,0.409,1771084077.858023,1771084077.858432,2026-02-14T15:47:57.858023+00:00,2026-02-14T15:47:57.858432+00:00,,,,180.0,[Errno 111] Connection refused
5,small,3,error,connection_error,0.411,1771084077.972987,1771084077.973399,2026-02-14T15:47:57.972987+00:00,2026-02-14T15:47:57.973399+00:00,,,,180.0,[Errno 111] Connection refused
6,medium,30,error,connection_error,0.46,1771084078.364253,1771084078.364714,2026-02-14T15:47:58.364253+00:00,2026-02-14T15:47:58.364714+00:00,,,,180.0,[Errno 111] Connection refused
7,medium,30,error,connection_error,0.434,1771084079.348257,1771084079.348691,2026-02-14T15:47:59.348257+00:00,2026-02-14T15:47:59.348691+00:00,,,,180.0,[Errno 111] Connection refused
8,small,3,error,connection_error,0.364,1771084079.454101,1771084079.454465,2026-02-14T15:47:59.454101+00:00,2026-02-14T15:47:59.454465+00:00,,,,180.0,[Errno 111] Connection refused
9,small,3,error,connection_error,0.427,1771084081.202182,1771084081.202609,2026-02-14T15:48:01.202182+00:00,2026-02-14T15:48:01.202609+00:00,,,,180.0,[Errno 111] Connection refused
