request_id,scenario,expected_item_count,status,error_reason,latency_ms,started_at_unix,ended_at_unix,started_at_iso,ended_at_iso,http_status,response_item_count,response_label_count,timeout_s,error_excerpt
0,small,3,error,http_error,38.74,1771085784.183333,1771085784.222074,2026-02-14T16:16:24.183333+00:00,2026-02-14T16:16:24.222074+00:00,400,,,180.0,"{""object"":""error"",""message"":""Scheduler subprocess is unavailable (dead pid(s): 1070772). Please restart the server."",""type"":""BadRequestError"",""param"":null,""code"":400}"
1,small,3,error,http_error,20.783,1771085785.71017,1771085785.730954,2026-02-14T16:16:25.710170+00:00,2026-02-14T16:16:25.730954+00:00,400,,,180.0,"{""object"":""error"",""message"":""Scheduler subprocess is unavailable (dead pid(s): 1070772). Please restart the server."",""type"":""BadRequestError"",""param"":null,""code"":400}"
2,small,3,error,http_error,20.661,1771085786.274028,1771085786.29469,2026-02-14T16:16:26.274028+00:00,2026-02-14T16:16:26.294690+00:00,400,,,180.0,"{""object"":""error"",""message"":""Scheduler subprocess is unavailable (dead pid(s): 1070772). Please restart the server."",""type"":""BadRequestError"",""param"":null,""code"":400}"
3,small,3,error,http_error,20.732,1771085786.567525,1771085786.588257,2026-02-14T16:16:26.567525+00:00,2026-02-14T16:16:26.588257+00:00,400,,,180.0,"{""object"":""error"",""message"":""Scheduler subprocess is unavailable (dead pid(s): 1070772). Please restart the server."",""type"":""BadRequestError"",""param"":null,""code"":400}"
4,small,3,error,http_error,20.699,1771085786.74895,1771085786.76965,2026-02-14T16:16:26.748950+00:00,2026-02-14T16:16:26.769650+00:00,400,,,180.0,"{""object"":""error"",""message"":""Scheduler subprocess is unavailable (dead pid(s): 1070772). Please restart the server."",""type"":""BadRequestError"",""param"":null,""code"":400}"
5,small,3,error,http_error,20.416,1771085786.842172,1771085786.862589,2026-02-14T16:16:26.842172+00:00,2026-02-14T16:16:26.862589+00:00,400,,,180.0,"{""object"":""error"",""message"":""Scheduler subprocess is unavailable (dead pid(s): 1070772). Please restart the server."",""type"":""BadRequestError"",""param"":null,""code"":400}"
6,small,3,error,http_error,20.024,1771085787.153339,1771085787.173364,2026-02-14T16:16:27.153339+00:00,2026-02-14T16:16:27.173364+00:00,400,,,180.0,"{""object"":""error"",""message"":""Scheduler subprocess is unavailable (dead pid(s): 1070772). Please restart the server."",""type"":""BadRequestError"",""param"":null,""code"":400}"
7,small,3,error,http_error,20.014,1771085787.940631,1771085787.960646,2026-02-14T16:16:27.940631+00:00,2026-02-14T16:16:27.960646+00:00,400,,,180.0,"{""object"":""error"",""message"":""Scheduler subprocess is unavailable (dead pid(s): 1070772). Please restart the server."",""type"":""BadRequestError"",""param"":null,""code"":400}"
8,small,3,error,http_error,19.901,1771085788.025172,1771085788.045074,2026-02-14T16:16:28.025172+00:00,2026-02-14T16:16:28.045074+00:00,400,,,180.0,"{""object"":""error"",""message"":""Scheduler subprocess is unavailable (dead pid(s): 1070772). Please restart the server."",""type"":""BadRequestError"",""param"":null,""code"":400}"
9,small,3,error,http_error,19.828,1771085789.425986,1771085789.445814,2026-02-14T16:16:29.425986+00:00,2026-02-14T16:16:29.445814+00:00,400,,,180.0,"{""object"":""error"",""message"":""Scheduler subprocess is unavailable (dead pid(s): 1070772). Please restart the server."",""type"":""BadRequestError"",""param"":null,""code"":400}"
